trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
0,OLS,0.030612244897959183,0.12244897959183673,0.053061224489795916,0.061224489795918366,0.09183673469387754,0.00816326530612245,1
0,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004897959183673469,0.09183673469387754,0.0032653061224489793,1
1,OLS,0.030612244897959183,0.12244897959183673,0.054693877551020405,0.07306122448979592,0.09183673469387754,0.018367346938775515,1
1,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.005306122448979592,0.09183673469387754,0.004489795918367347,1
2,OLS,0.030612244897959183,0.12244897959183673,0.04979591836734694,0.0653061224489796,0.09183673469387754,0.015510204081632659,1
2,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.006122448979591836,0.09183673469387754,0.005306122448979591,1
3,OLS,0.030612244897959183,0.12244897959183673,0.04693877551020408,0.07224489795918368,0.09183673469387754,0.025306122448979597,1
3,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.005306122448979592,0.09183673469387754,0.004081632653061225,1
4,OLS,0.030612244897959183,0.12244897959183673,0.04816326530612245,0.0636734693877551,0.09183673469387754,0.015510204081632652,1
4,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0024489795918367346,0.09183673469387754,0.0012244897959183673,1
5,OLS,0.030612244897959183,0.12244897959183673,0.053877551020408164,0.07265306122448979,0.09183673469387754,0.01877551020408163,1
5,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0016326530612244899,0.09183673469387754,0.00040816326530612257,1
6,OLS,0.030612244897959183,0.12244897959183673,0.05020408163265306,0.07020408163265306,0.09183673469387754,0.019999999999999997,1
6,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0032653061224489797,0.09183673469387754,0.0016326530612244899,1
7,OLS,0.030612244897959183,0.12244897959183673,0.052653061224489796,0.07551020408163266,0.09183673469387754,0.02285714285714286,1
7,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
8,OLS,0.030612244897959183,0.12244897959183673,0.05714285714285714,0.07061224489795918,0.09183673469387754,0.013469387755102043,1
8,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.0032653061224489797,0.09183673469387754,0.0016326530612244899,1
9,OLS,0.030612244897959183,0.12244897959183673,0.0563265306122449,0.06408163265306123,0.09183673469387754,0.007755102040816329,1
9,LASSO,0.030612244897959183,0.12244897959183673,0.004489795918367347,0.0024489795918367346,0.09183673469387754,-0.0020408163265306124,0
10,OLS,0.030612244897959183,0.12244897959183673,0.04693877551020408,0.06979591836734694,0.09183673469387754,0.02285714285714286,1
10,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.002857142857142857,0.09183673469387754,0.0008163265306122447,1
11,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.07795918367346939,0.09183673469387754,0.0289795918367347,1
11,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004897959183673469,0.09183673469387754,0.0032653061224489793,1
12,OLS,0.030612244897959183,0.12244897959183673,0.05551020408163265,0.07673469387755102,0.09183673469387754,0.021224489795918372,1
12,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.003673469387755102,0.09183673469387754,0.0032653061224489793,1
13,OLS,0.030612244897959183,0.12244897959183673,0.052244897959183675,0.06857142857142857,0.09183673469387754,0.0163265306122449,1
13,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.003673469387755102,0.09183673469387754,0.0016326530612244894,1
14,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.06775510204081632,0.09183673469387754,0.0183673469387755,1
14,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.003673469387755102,0.09183673469387754,0.0016326530612244894,1
15,OLS,0.030612244897959183,0.12244897959183673,0.04775510204081632,0.07714285714285714,0.09183673469387754,0.029387755102040815,1
15,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.0024489795918367346,0.09183673469387754,0.0012244897959183673,1
16,OLS,0.030612244897959183,0.12244897959183673,0.052653061224489796,0.0746938775510204,0.09183673469387754,0.022040816326530606,1
16,LASSO,0.030612244897959183,0.12244897959183673,0.002857142857142857,0.002857142857142857,0.09183673469387754,0.0,0
17,OLS,0.030612244897959183,0.12244897959183673,0.05183673469387755,0.06775510204081632,0.09183673469387754,0.015918367346938772,1
17,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.004489795918367347,0.09183673469387754,0.004081632653061225,1
18,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.07918367346938776,0.09183673469387754,0.029795918367346942,1
18,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004897959183673469,0.09183673469387754,0.0032653061224489793,1
19,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.07265306122448979,0.09183673469387754,0.024081632653061222,1
19,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.004081632653061225,0.09183673469387754,0.0028571428571428576,1
