N,T,T_N,trial,estimator,signal,hub_recovery,kendall_tau
50,120,2.4,0,LASSO,NIO,0.4,0.22269146840482862
50,120,2.4,0,LASSO,WOD,0.4,0.3382532440766734
50,120,2.4,0,LASSO,PageRank,0.4,0.3456116580381497
50,120,2.4,0,OLS,NIO,0.2,0.1654210651800215
50,120,2.4,0,OLS,WOD,0.2,0.23337782709181412
50,120,2.4,0,OLS,PageRank,0.4,0.17615108021872564
50,120,2.4,1,LASSO,NIO,0.0,0.1829401178490395
50,120,2.4,1,LASSO,WOD,0.0,0.18877069807034802
50,120,2.4,1,LASSO,PageRank,0.2,0.19684680436361154
50,120,2.4,1,OLS,NIO,0.4,0.09867026253462367
50,120,2.4,1,OLS,WOD,0.2,0.062125720855133425
50,120,2.4,1,OLS,PageRank,0.2,0.027408406259617688
50,120,2.4,2,LASSO,NIO,0.4,0.3495844463551501
50,120,2.4,2,LASSO,WOD,0.4,0.2234569951455607
50,120,2.4,2,LASSO,PageRank,0.0,0.15111473127830624
50,120,2.4,2,OLS,NIO,0.4,0.16607945763372525
50,120,2.4,2,OLS,WOD,0.4,0.24009312897049412
50,120,2.4,2,OLS,PageRank,0.2,0.11914395873723768
50,120,2.4,3,LASSO,NIO,0.2,0.06760102308251013
50,120,2.4,3,LASSO,WOD,0.2,0.08872964704706648
50,120,2.4,3,LASSO,PageRank,0.0,0.03729184960786899
50,120,2.4,3,OLS,NIO,0.4,0.15586992159713742
50,120,2.4,3,OLS,WOD,0.4,0.24315707769153433
50,120,2.4,3,OLS,PageRank,0.4,0.16121403319475355
50,120,2.4,4,LASSO,NIO,0.0,0.1798288780532861
50,120,2.4,4,LASSO,WOD,0.0,0.18633513905378904
50,120,2.4,4,LASSO,PageRank,0.4,0.23003012129958478
50,120,2.4,4,OLS,NIO,0.2,0.04633444719741937
50,120,2.4,4,OLS,WOD,0.0,0.1717100102022012
50,120,2.4,4,OLS,PageRank,0.2,0.15172260160723597
50,120,2.4,5,LASSO,NIO,0.2,0.1332584663609977
50,120,2.4,5,LASSO,WOD,0.2,0.2666433770035889
50,120,2.4,5,LASSO,PageRank,0.0,0.17857767450699077
50,120,2.4,5,OLS,NIO,0.0,0.04520835786044386
50,120,2.4,5,OLS,WOD,0.2,0.22973226749490858
50,120,2.4,5,OLS,PageRank,0.0,0.11348220442519581
50,120,2.4,6,LASSO,NIO,0.4,0.12116203321379228
50,120,2.4,6,LASSO,WOD,0.4,0.1544656891442466
50,120,2.4,6,LASSO,PageRank,0.2,0.13797474862498063
50,120,2.4,6,OLS,NIO,0.2,0.18071043828457173
50,120,2.4,6,OLS,WOD,0.2,0.21389818830675605
50,120,2.4,6,OLS,PageRank,0.2,0.14230046837144023
50,120,2.4,7,LASSO,NIO,0.0,0.05188553404112318
50,120,2.4,7,LASSO,WOD,0.0,0.1299510337952479
50,120,2.4,7,LASSO,PageRank,0.0,0.07717388397128144
50,120,2.4,7,OLS,NIO,0.0,0.15149012351972416
50,120,2.4,7,OLS,WOD,0.2,0.22099735666406817
50,120,2.4,7,OLS,PageRank,0.2,0.2120861729276138
50,500,10.0,0,LASSO,NIO,0.2,0.12224550385532139
50,500,10.0,0,LASSO,WOD,0.2,0.31078911493615996
50,500,10.0,0,LASSO,PageRank,0.2,0.3299245409390309
50,500,10.0,0,OLS,NIO,0.2,0.25142674959650185
50,500,10.0,0,OLS,WOD,0.2,0.35814745625976524
50,500,10.0,0,OLS,PageRank,0.0,0.27132383049982217
50,500,10.0,1,LASSO,NIO,0.4,0.22873238369142554
50,500,10.0,1,LASSO,WOD,0.4,0.4227349326694115
50,500,10.0,1,LASSO,PageRank,0.2,0.39962413908384004
50,500,10.0,1,OLS,NIO,0.0,0.21619428381237657
50,500,10.0,1,OLS,WOD,0.0,0.36392704441750057
50,500,10.0,1,OLS,PageRank,0.0,0.304473616369097
50,500,10.0,2,LASSO,NIO,0.2,0.08116412559294567
50,500,10.0,2,LASSO,WOD,0.2,0.2333020874742055
50,500,10.0,2,LASSO,PageRank,0.4,0.2801716129649881
50,500,10.0,2,OLS,NIO,0.2,0.06286946134619315
50,500,10.0,2,OLS,WOD,0.2,0.2173487092254106
50,500,10.0,2,OLS,PageRank,0.2,0.023351514214300314
50,500,10.0,3,LASSO,NIO,0.6,0.2853147796883917
50,500,10.0,3,LASSO,WOD,0.6,0.3169321757602164
50,500,10.0,3,LASSO,PageRank,0.4,0.23961364352375605
50,500,10.0,3,OLS,NIO,0.0,-0.023305501333703033
50,500,10.0,3,OLS,WOD,0.2,0.1810658180541543
50,500,10.0,3,OLS,PageRank,0.4,0.22767682072156037
50,500,10.0,4,LASSO,NIO,0.2,0.30055265384018837
50,500,10.0,4,LASSO,WOD,0.2,0.35342178091793264
50,500,10.0,4,LASSO,PageRank,0.2,0.3198513742872055
50,500,10.0,4,OLS,NIO,0.2,0.3147625269328651
50,500,10.0,4,OLS,WOD,0.2,0.3921343212627314
50,500,10.0,4,OLS,PageRank,0.0,0.3428977248709983
50,500,10.0,5,LASSO,NIO,0.4,0.3067682796048976
50,500,10.0,5,LASSO,WOD,0.4,0.36116007168393643
50,500,10.0,5,LASSO,PageRank,0.2,0.26099834513692477
50,500,10.0,5,OLS,NIO,0.2,0.30510802855858954
50,500,10.0,5,OLS,WOD,0.2,0.3777527972630156
50,500,10.0,5,OLS,PageRank,0.4,0.19614087550195042
50,500,10.0,6,LASSO,NIO,0.4,0.14755601715527156
50,500,10.0,6,LASSO,WOD,0.4,0.28725953997026704
50,500,10.0,6,LASSO,PageRank,0.4,0.21212942155240522
50,500,10.0,6,OLS,NIO,0.2,0.11384188459240052
50,500,10.0,6,OLS,WOD,0.2,0.18321428301589457
50,500,10.0,6,OLS,PageRank,0.6,0.15119625297428194
50,500,10.0,7,LASSO,NIO,0.2,0.26459909918935115
50,500,10.0,7,LASSO,WOD,0.2,0.3456790208469246
50,500,10.0,7,LASSO,PageRank,0.4,0.33031412452609815
50,500,10.0,7,OLS,NIO,0.0,0.23783112793286673
50,500,10.0,7,OLS,WOD,0.2,0.31774238691830997
50,500,10.0,7,OLS,PageRank,0.4,0.30822914180099525
100,250,2.5,0,LASSO,NIO,0.0,0.15209604814581063
100,250,2.5,0,LASSO,WOD,0.0,0.18874388347502244
100,250,2.5,0,LASSO,PageRank,0.2,0.06272413403488762
100,250,2.5,0,OLS,NIO,0.0,0.054717509209603644
100,250,2.5,0,OLS,WOD,0.0,0.2199514105382091
100,250,2.5,0,OLS,PageRank,0.2,0.13603681143415294
100,250,2.5,1,LASSO,NIO,0.0,0.11119564795547748
100,250,2.5,1,LASSO,WOD,0.0,0.12971700794492472
100,250,2.5,1,LASSO,PageRank,0.0,0.07878225620141299
100,250,2.5,1,OLS,NIO,0.0,0.15986405125116673
100,250,2.5,1,OLS,WOD,0.0,0.23774099096756726
100,250,2.5,1,OLS,PageRank,0.0,0.1862556808217247
100,250,2.5,2,LASSO,NIO,0.0,0.11032297201951123
100,250,2.5,2,LASSO,WOD,0.0,0.21435786756691969
100,250,2.5,2,LASSO,PageRank,0.0,0.18687608967372482
100,250,2.5,2,OLS,NIO,0.0,0.11378158588556958
100,250,2.5,2,OLS,WOD,0.0,0.1818338105866531
100,250,2.5,2,OLS,PageRank,0.0,0.09167544919923033
100,250,2.5,3,LASSO,NIO,0.2,0.1447269505601694
100,250,2.5,3,LASSO,WOD,0.2,0.2316483968633372
100,250,2.5,3,LASSO,PageRank,0.0,0.19315054207126647
100,250,2.5,3,OLS,NIO,0.0,0.13277581199189073
100,250,2.5,3,OLS,WOD,0.0,0.20957750716367066
100,250,2.5,3,OLS,PageRank,0.0,0.11281604940487447
100,250,2.5,4,LASSO,NIO,0.2,0.11060521592442425
100,250,2.5,4,LASSO,WOD,0.2,0.11488279481336709
100,250,2.5,4,LASSO,PageRank,0.0,0.05490188299501964
100,250,2.5,4,OLS,NIO,0.0,0.20918611307155374
100,250,2.5,4,OLS,WOD,0.2,0.2044269667555515
100,250,2.5,4,OLS,PageRank,0.0,0.2044269667555515
100,250,2.5,5,LASSO,NIO,0.2,0.16724705722276093
100,250,2.5,5,LASSO,WOD,0.0,0.1922728231625889
100,250,2.5,5,LASSO,PageRank,0.0,0.0893949523593106
100,250,2.5,5,OLS,NIO,0.0,0.043676660047021656
100,250,2.5,5,OLS,WOD,0.0,0.27166882549247473
100,250,2.5,5,OLS,PageRank,0.0,0.19479790380971657
100,250,2.5,6,LASSO,NIO,0.0,0.21535122393337586
100,250,2.5,6,LASSO,WOD,0.0,0.27815694154039394
100,250,2.5,6,LASSO,PageRank,0.2,0.21670366375821387
100,250,2.5,6,OLS,NIO,0.2,0.09992719125656109
100,250,2.5,6,OLS,WOD,0.0,0.33301869569951137
100,250,2.5,6,OLS,PageRank,0.0,0.15517851082822337
100,250,2.5,7,LASSO,NIO,0.2,0.14127973026545101
100,250,2.5,7,LASSO,WOD,0.2,0.20203171838065395
100,250,2.5,7,LASSO,PageRank,0.0,0.08110170334271999
100,250,2.5,7,OLS,NIO,0.0,0.15739032476097306
