N,T,T_N,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hub_recovery_mean,hub_recovery_std,kendall_tau_mean,kendall_tau_std,n_trials,dgp,preprocessing,method
30,30,1.0,0.059430093434236664,0.013297214464705076,0.2866666666666666,0.06398302243950209,0.09845006240385452,0.02201849236869413,0.2,0.2,0.036238552624843275,0.1531093700126798,10,garch_factor,estimated_fn,ols
30,60,2.0,0.06890880649389083,0.011647428414946858,0.33333333333333337,0.056218269514104524,0.11420776129800018,0.019296649532405074,0.06000000000000001,0.09165151389911681,-0.061330942829878866,0.16628023668667244,10,garch_factor,estimated_fn,ols
30,100,3.3333333333333335,0.07618906692597135,0.013376446713279961,0.36888888888888893,0.0645592846503731,0.12629379154210083,0.02216104868102332,0.12,0.132664991614216,-0.060417661382619836,0.16930368013311975,10,garch_factor,estimated_fn,ols
30,250,8.333333333333334,0.11009174311926606,0.01716356599437588,0.5333333333333334,0.08314794192830981,0.18250950570342206,0.02845366834048624,0.14,0.12806248474865697,0.05195374191548578,0.1423295280480086,10,garch_factor,estimated_fn,ols
50,50,1.0,0.06843073281514889,0.00808636028202989,0.33519999999999994,0.03958989770130759,0.1136582424168882,0.013429631119233775,0.06000000000000001,0.09165151389911681,-0.04035166025861955,0.0685845859182509,10,garch_factor,estimated_fn,ols
50,120,2.4,0.08955954323001632,0.009988430352262075,0.43920000000000003,0.048983262447493243,0.14878048780487807,0.016593246086549187,0.1,0.1341640786499874,0.055956175944024036,0.11213867051682717,10,garch_factor,estimated_fn,ols
50,250,5.0,0.11141924959216967,0.009897429893714529,0.5464,0.048536996198776036,0.18509485094850947,0.016442071883054226,0.08,0.132664991614216,0.08070845445794601,0.12396123830074705,10,garch_factor,estimated_fn,ols
50,500,10.0,0.11843393148450246,0.007727712419136714,0.5808,0.03789670170344643,0.1967479674796748,0.01283763607840327,0.14,0.1562049935181331,0.1423287213737207,0.13519149489135904,10,garch_factor,estimated_fn,ols
100,100,1.0,0.08711818263475499,0.003105874062752198,0.4312,0.015367498169838852,0.1449509643803722,0.005167377632074378,0.06000000000000001,0.09165151389911681,0.07061691746326154,0.049311588074307106,10,garch_factor,estimated_fn,ols
100,60,0.6,0.07330868501641327,0.0021585989561057725,0.3626,0.010697663296253076,0.12196007872753271,0.0035923008059113855,0.08,0.132664991614216,0.03741626152538571,0.06871213153361669,10,garch_factor,estimated_fn,ols
100,250,2.5,0.10828282828282827,0.005770851255388162,0.536,0.0285657137141714,0.18016806722689077,0.009601920576192064,0.08,0.09797958971132713,0.09675140021234685,0.09692433858300378,10,garch_factor,estimated_fn,ols
100,500,5.0,0.10666666666666666,0.011128361265095818,0.528,0.05508538826222431,0.17747899159663866,0.018516096894865306,0.14,0.1562049935181331,0.06602094116352698,0.09031026750491633,10,garch_factor,estimated_fn,ols
100,1000,10.0,0.10222222222222224,0.006238467576765669,0.5059999999999999,0.030880414504990038,0.1700840336134454,0.010379971262181526,0.02,0.060000000000000005,0.027524837590651247,0.07433888454281118,10,garch_factor,estimated_fn,ols
