N,T,T_N_ratio,trial,method,hub_recovery,precision
30,60,2.0,0,LASSO-TE,0.0,0.14285714285714285
30,60,2.0,0,OLS-TE,0.2,0.05555555555555555
30,60,2.0,1,LASSO-TE,0.0,0.3333333333333333
30,60,2.0,1,OLS-TE,0.0,0.15254237288135594
30,60,2.0,2,LASSO-TE,0.2,0.25
30,60,2.0,2,OLS-TE,0.2,0.17857142857142858
30,60,2.0,3,LASSO-TE,0.4,0.23529411764705882
30,60,2.0,3,OLS-TE,0.4,0.14925373134328357
30,60,2.0,4,LASSO-TE,0.0,0.375
30,60,2.0,4,OLS-TE,0.4,0.15254237288135594
30,60,2.0,5,LASSO-TE,0.2,0.2
30,60,2.0,5,OLS-TE,0.0,0.06756756756756757
30,60,2.0,6,LASSO-TE,0.4,0.4166666666666667
30,60,2.0,6,OLS-TE,0.0,0.16129032258064516
30,60,2.0,7,LASSO-TE,0.0,0.0
30,60,2.0,7,OLS-TE,0.0,0.1388888888888889
30,60,2.0,8,LASSO-TE,0.2,0.5
30,60,2.0,8,OLS-TE,0.4,0.1724137931034483
30,60,2.0,9,LASSO-TE,0.2,0.5714285714285714
30,60,2.0,9,OLS-TE,0.2,0.1509433962264151
30,250,8.333333333333334,0,LASSO-TE,0.0,0.5
30,250,8.333333333333334,0,OLS-TE,0.2,0.18181818181818182
30,250,8.333333333333334,1,LASSO-TE,0.6,0.4444444444444444
30,250,8.333333333333334,1,OLS-TE,0.4,0.19658119658119658
30,250,8.333333333333334,2,LASSO-TE,0.2,0.48
30,250,8.333333333333334,2,OLS-TE,0.4,0.1796875
30,250,8.333333333333334,3,LASSO-TE,0.6,0.5789473684210527
30,250,8.333333333333334,3,OLS-TE,0.2,0.16216216216216217
30,250,8.333333333333334,4,LASSO-TE,0.0,0.5714285714285714
30,250,8.333333333333334,4,OLS-TE,0.2,0.15942028985507245
30,250,8.333333333333334,5,LASSO-TE,0.2,0.5625
30,250,8.333333333333334,5,OLS-TE,0.0,0.15463917525773196
30,250,8.333333333333334,6,LASSO-TE,0.6,0.7058823529411765
30,250,8.333333333333334,6,OLS-TE,0.6,0.20512820512820512
30,250,8.333333333333334,7,LASSO-TE,0.2,0.6666666666666666
30,250,8.333333333333334,7,OLS-TE,0.0,0.1640625
30,250,8.333333333333334,8,LASSO-TE,0.4,0.6153846153846154
30,250,8.333333333333334,8,OLS-TE,0.2,0.171875
30,250,8.333333333333334,9,LASSO-TE,0.4,0.7727272727272727
30,250,8.333333333333334,9,OLS-TE,0.4,0.20454545454545456
50,120,2.4,0,LASSO-TE,0.0,0.5
50,120,2.4,0,OLS-TE,0.2,0.14285714285714285
50,120,2.4,1,LASSO-TE,0.2,0.4230769230769231
50,120,2.4,1,OLS-TE,0.2,0.14334470989761092
50,120,2.4,2,LASSO-TE,0.2,0.6521739130434783
50,120,2.4,2,OLS-TE,0.0,0.1934156378600823
50,120,2.4,3,LASSO-TE,0.0,0.42105263157894735
50,120,2.4,3,OLS-TE,0.2,0.16326530612244897
50,120,2.4,4,LASSO-TE,0.0,0.4444444444444444
50,120,2.4,4,OLS-TE,0.0,0.19130434782608696
50,120,2.4,5,LASSO-TE,0.0,0.7241379310344828
50,120,2.4,5,OLS-TE,0.2,0.18777292576419213
50,120,2.4,6,LASSO-TE,0.0,0.625
50,120,2.4,6,OLS-TE,0.0,0.14516129032258066
50,120,2.4,7,LASSO-TE,0.2,0.5555555555555556
50,120,2.4,7,OLS-TE,0.2,0.138801261829653
50,120,2.4,8,LASSO-TE,0.0,0.8
50,120,2.4,8,OLS-TE,0.2,0.19282511210762332
50,120,2.4,9,LASSO-TE,0.0,0.7058823529411765
50,120,2.4,9,OLS-TE,0.2,0.12030075187969924
50,500,10.0,0,LASSO-TE,0.6,0.90625
50,500,10.0,0,OLS-TE,0.0,0.11773700305810397
50,500,10.0,1,LASSO-TE,0.2,0.6904761904761905
50,500,10.0,1,OLS-TE,0.2,0.10299869621903521
50,500,10.0,2,LASSO-TE,0.4,0.8548387096774194
50,500,10.0,2,OLS-TE,0.0,0.11591962905718702
50,500,10.0,3,LASSO-TE,0.4,0.7323943661971831
50,500,10.0,3,OLS-TE,0.0,0.12714776632302405
50,500,10.0,4,LASSO-TE,0.6,0.8378378378378378
50,500,10.0,4,OLS-TE,0.4,0.11637931034482758
50,500,10.0,5,LASSO-TE,0.4,0.7454545454545455
50,500,10.0,5,OLS-TE,0.2,0.12955465587044535
50,500,10.0,6,LASSO-TE,0.4,0.7083333333333334
50,500,10.0,6,OLS-TE,0.4,0.1307300509337861
50,500,10.0,7,LASSO-TE,0.4,0.8805970149253731
50,500,10.0,7,OLS-TE,0.0,0.17422434367541767
50,500,10.0,8,LASSO-TE,0.6,0.7662337662337663
50,500,10.0,8,OLS-TE,0.4,0.13696369636963696
50,500,10.0,9,LASSO-TE,0.2,0.82
50,500,10.0,9,OLS-TE,0.0,0.12794612794612795
100,60,0.6,0,LASSO-TE,0.0,0.34782608695652173
100,60,0.6,0,OLS-TE,0.0,0.11883691529709228
100,60,0.6,1,LASSO-TE,0.2,0.5405405405405406
100,60,0.6,1,OLS-TE,0.0,0.13636363636363635
100,60,0.6,2,LASSO-TE,0.0,0.4782608695652174
100,60,0.6,2,OLS-TE,0.0,0.10559796437659033
100,60,0.6,3,LASSO-TE,0.0,0.3125
100,60,0.6,3,OLS-TE,0.0,0.12092391304347826
100,60,0.6,4,LASSO-TE,0.2,0.47368421052631576
100,60,0.6,4,OLS-TE,0.0,0.10519645120405577
100,60,0.6,5,LASSO-TE,0.0,0.5428571428571428
100,60,0.6,5,OLS-TE,0.0,0.10859188544152745
100,60,0.6,6,LASSO-TE,0.0,0.3181818181818182
100,60,0.6,6,OLS-TE,0.2,0.10591471801925723
100,60,0.6,7,LASSO-TE,0.0,0.5555555555555556
100,60,0.6,7,OLS-TE,0.0,0.11004126547455295
100,60,0.6,8,LASSO-TE,0.0,0.2
100,60,0.6,8,OLS-TE,0.0,0.09932885906040269
