method,N,T,hub_recovery,precision,T_N,random_baseline
LASSO-TE,30,60,0.16,0.302,2.0,0.169
LASSO-TE,30,250,0.32,0.59,8.3,0.169
LASSO-TE,50,120,0.06,0.585,2.4,0.101
LASSO-TE,50,500,0.42,0.794,10.0,0.101
LASSO-TE,100,60,0.04,0.398,0.6,0.054
LASSO-TE,100,250,0.16,0.914,2.5,0.054
LASSO-TE,100,500,0.3,0.95,5.0,0.054
OLS-TE,30,60,0.18,0.138,2.0,0.169
OLS-TE,30,250,0.26,0.178,8.3,0.169
OLS-TE,50,120,0.14,0.162,2.4,0.101
OLS-TE,50,500,0.16,0.128,10.0,0.101
OLS-TE,100,60,0.02,0.111,0.6,0.054
OLS-TE,100,250,0.14,0.149,2.5,0.054
OLS-TE,100,500,0.14,0.109,5.0,0.054
