dgp,N,T,T_N,trial,method,precision,recall,f1,hub_recovery,net_density
gaussian,20,12,0.6,0,OLS,0.16666666666666666,0.15,0.15789473684210525,0.2,0.04736842105263158
gaussian,20,12,0.6,0,LASSO,0.125,0.1,0.1111111111111111,0.2,0.042105263157894736
gaussian,20,12,0.6,1,OLS,0.0,0.0,0.0,0.2,0.07105263157894737
gaussian,20,12,0.6,1,LASSO,0.0,0.0,0.0,0.2,0.02368421052631579
gaussian,20,12,0.6,2,OLS,0.058823529411764705,0.05,0.05405405405405406,0.0,0.04473684210526316
gaussian,20,12,0.6,2,LASSO,0.0,0.0,0.0,0.4,0.02368421052631579
gaussian,20,12,0.6,3,OLS,0.0625,0.1,0.07692307692307693,0.0,0.08421052631578947
gaussian,20,12,0.6,3,LASSO,0.0,0.0,0.0,0.2,0.02894736842105263
gaussian,20,12,0.6,4,OLS,0.14705882352941177,0.25,0.18518518518518517,0.4,0.08947368421052632
gaussian,20,12,0.6,4,LASSO,0.3157894736842105,0.3,0.3076923076923077,0.2,0.05
gaussian,20,12,0.6,5,OLS,0.07407407407407407,0.1,0.0851063829787234,0.0,0.07105263157894737
gaussian,20,12,0.6,5,LASSO,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
gaussian,20,12,0.6,6,OLS,0.043478260869565216,0.05,0.046511627906976744,0.2,0.060526315789473685
gaussian,20,12,0.6,6,LASSO,0.07692307692307693,0.05,0.06060606060606061,0.4,0.034210526315789476
gaussian,20,12,0.6,7,OLS,0.06666666666666667,0.1,0.08,0.2,0.07894736842105263
gaussian,20,12,0.6,7,LASSO,0.07692307692307693,0.05,0.06060606060606061,0.2,0.034210526315789476
gaussian,20,12,0.6,8,OLS,0.02857142857142857,0.05,0.03636363636363636,0.2,0.09210526315789473
gaussian,20,12,0.6,8,LASSO,0.0,0.0,0.0,0.2,0.05263157894736842
gaussian,20,12,0.6,9,OLS,0.08333333333333333,0.1,0.09090909090909091,0.4,0.06315789473684211
gaussian,20,12,0.6,9,LASSO,0.1,0.05,0.06666666666666667,0.4,0.02631578947368421
gaussian,20,12,0.6,10,OLS,0.1388888888888889,0.25,0.17857142857142858,0.2,0.09473684210526316
gaussian,20,12,0.6,10,LASSO,0.0,0.0,0.0,0.4,0.02894736842105263
gaussian,20,12,0.6,11,OLS,0.21875,0.35,0.2692307692307692,0.2,0.08421052631578947
gaussian,20,12,0.6,11,LASSO,0.11764705882352941,0.1,0.10810810810810811,0.2,0.04473684210526316
gaussian,20,12,0.6,12,OLS,0.02857142857142857,0.05,0.03636363636363636,0.4,0.09210526315789473
gaussian,20,12,0.6,12,LASSO,0.0,0.0,0.0,0.8,0.021052631578947368
gaussian,20,12,0.6,13,OLS,0.038461538461538464,0.05,0.043478260869565216,0.2,0.06842105263157895
gaussian,20,12,0.6,13,LASSO,0.0,0.0,0.0,0.6,0.042105263157894736
gaussian,20,12,0.6,14,OLS,0.05128205128205128,0.1,0.06779661016949153,0.2,0.10263157894736842
gaussian,20,12,0.6,14,LASSO,0.0,0.0,0.0,0.2,0.02894736842105263
gaussian,20,12,0.6,15,OLS,0.0,0.0,0.0,0.0,0.07631578947368421
gaussian,20,12,0.6,15,LASSO,0.0,0.0,0.0,0.2,0.021052631578947368
gaussian,20,12,0.6,16,OLS,0.0,0.0,0.0,0.4,0.06842105263157895
gaussian,20,12,0.6,16,LASSO,0.0,0.0,0.0,0.0,0.021052631578947368
gaussian,20,12,0.6,17,OLS,0.029411764705882353,0.05,0.037037037037037035,0.0,0.08947368421052632
gaussian,20,12,0.6,17,LASSO,0.047619047619047616,0.05,0.04878048780487805,0.2,0.05526315789473684
gaussian,20,12,0.6,18,OLS,0.06060606060606061,0.1,0.07547169811320754,0.2,0.0868421052631579
gaussian,20,12,0.6,18,LASSO,0.09090909090909091,0.1,0.09523809523809523,0.4,0.05789473684210526
gaussian,20,12,0.6,19,OLS,0.03571428571428571,0.05,0.041666666666666664,0.4,0.07368421052631578
gaussian,20,12,0.6,19,LASSO,0.05555555555555555,0.05,0.05263157894736842,0.4,0.04736842105263158
gaussian,20,12,0.6,20,OLS,0.037037037037037035,0.05,0.0425531914893617,0.2,0.07105263157894737
gaussian,20,12,0.6,20,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.2,0.04473684210526316
gaussian,20,12,0.6,21,OLS,0.07142857142857142,0.1,0.08333333333333333,0.2,0.07368421052631578
gaussian,20,12,0.6,21,LASSO,0.0,0.0,0.0,0.4,0.021052631578947368
gaussian,20,12,0.6,22,OLS,0.034482758620689655,0.05,0.04081632653061224,0.2,0.07631578947368421
gaussian,20,12,0.6,22,LASSO,0.1,0.05,0.06666666666666667,0.2,0.02631578947368421
gaussian,20,12,0.6,23,OLS,0.06060606060606061,0.1,0.07547169811320754,0.0,0.0868421052631579
gaussian,20,12,0.6,23,LASSO,0.0,0.0,0.0,0.4,0.021052631578947368
gaussian,20,12,0.6,24,OLS,0.04,0.05,0.044444444444444446,0.2,0.06578947368421052
gaussian,20,12,0.6,24,LASSO,0.0,0.0,0.0,0.0,0.039473684210526314
gaussian,20,12,0.6,25,OLS,0.03571428571428571,0.05,0.041666666666666664,0.2,0.07368421052631578
gaussian,20,12,0.6,25,LASSO,0.0,0.0,0.0,0.2,0.034210526315789476
gaussian,20,12,0.6,26,OLS,0.029411764705882353,0.05,0.037037037037037035,0.2,0.08947368421052632
gaussian,20,12,0.6,26,LASSO,0.0,0.0,0.0,0.4,0.039473684210526314
gaussian,20,12,0.6,27,OLS,0.08333333333333333,0.15,0.10714285714285714,0.2,0.09473684210526316
gaussian,20,12,0.6,27,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
gaussian,20,12,0.6,28,OLS,0.07692307692307693,0.15,0.1016949152542373,0.4,0.10263157894736842
gaussian,20,12,0.6,28,LASSO,0.05555555555555555,0.05,0.05263157894736842,0.4,0.04736842105263158
gaussian,20,12,0.6,29,OLS,0.03125,0.05,0.038461538461538464,0.0,0.08421052631578947
gaussian,20,12,0.6,29,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.0,0.03684210526315789
gaussian,20,12,0.6,30,OLS,0.03333333333333333,0.05,0.04,0.2,0.07894736842105263
gaussian,20,12,0.6,30,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.2,0.02894736842105263
gaussian,20,12,0.6,31,OLS,0.038461538461538464,0.05,0.043478260869565216,0.4,0.06842105263157895
gaussian,20,12,0.6,31,LASSO,0.0,0.0,0.0,0.4,0.05263157894736842
gaussian,20,12,0.6,32,OLS,0.0,0.0,0.0,0.2,0.04736842105263158
gaussian,20,12,0.6,32,LASSO,0.0,0.0,0.0,0.0,0.02631578947368421
