dgp,method,N,T,T_N,n_trials,precision,precision_ci,recall,recall_ci,f1,f1_ci,hub_recovery,hub_recovery_ci,net_density,net_density_ci
gaussian,OLS,20,12,0.6,100,0.0578,0.0084,0.0875,0.0132,0.069,0.0101,0.252,0.0332,0.0798,0.0029
gaussian,OLS,20,20,1.0,100,0.0731,0.0117,0.0875,0.0136,0.079,0.0123,0.254,0.0342,0.0643,0.0023
gaussian,OLS,20,50,2.5,100,0.1007,0.0124,0.1065,0.0136,0.1024,0.0125,0.296,0.0331,0.0558,0.0022
gaussian,OLS,20,100,5.0,100,0.1662,0.0143,0.1675,0.0157,0.1653,0.0145,0.29,0.04,0.0528,0.002
gaussian,OLS,20,200,10.0,100,0.2692,0.0161,0.304,0.02,0.2827,0.0168,0.338,0.0355,0.0599,0.0023
gaussian,OLS,50,30,0.6,100,0.0774,0.0045,0.0874,0.0051,0.082,0.0047,0.094,0.0267,0.0577,0.0008
gaussian,OLS,50,60,1.2,100,0.1157,0.0049,0.1242,0.0056,0.1196,0.0051,0.138,0.0291,0.0549,0.001
gaussian,OLS,50,125,2.5,100,0.1867,0.0058,0.2039,0.0068,0.1947,0.0061,0.174,0.0312,0.0558,0.0009
gaussian,OLS,50,250,5.0,100,0.2906,0.0063,0.3545,0.008,0.319,0.0067,0.228,0.037,0.0624,0.0009
gaussian,OLS,50,500,10.0,100,0.4014,0.0063,0.5803,0.0099,0.4741,0.0071,0.262,0.0394,0.0739,0.0009
gaussian,OLS,100,60,0.6,100,0.1125,0.0025,0.12,0.0028,0.1161,0.0026,0.06,0.0222,0.0539,0.0005
gaussian,OLS,100,120,1.2,100,0.1777,0.0029,0.1934,0.0036,0.1851,0.0031,0.094,0.0249,0.055,0.0005
gaussian,OLS,100,250,2.5,100,0.2843,0.0032,0.3493,0.0051,0.3133,0.0038,0.132,0.0234,0.062,0.0005
gaussian,OLS,100,500,5.0,100,0.3981,0.0031,0.578,0.0047,0.4714,0.0034,0.208,0.0343,0.0734,0.0005
gaussian,OLS,100,1000,10.0,100,0.4789,0.0023,0.7934,0.0032,0.5972,0.0023,0.278,0.0386,0.0837,0.0004
gaussian,LASSO,20,12,0.6,100,0.0547,0.0123,0.04,0.0101,0.0453,0.0106,0.254,0.0328,0.0362,0.0022
gaussian,LASSO,20,20,1.0,100,0.0656,0.0176,0.0255,0.0065,0.0359,0.0092,0.312,0.0358,0.0207,0.0014
gaussian,LASSO,20,50,2.5,100,0.1044,0.0331,0.027,0.0076,0.041,0.0114,0.248,0.0315,0.0127,0.0015
gaussian,LASSO,20,100,5.0,100,0.2592,0.0617,0.036,0.008,0.0608,0.0131,0.302,0.0359,0.0072,0.0009
gaussian,LASSO,20,200,10.0,100,0.4593,0.0721,0.071,0.0133,0.1175,0.0205,0.306,0.0372,0.0071,0.0011
gaussian,LASSO,50,30,0.6,100,0.1096,0.0189,0.0104,0.0017,0.0188,0.003,0.102,0.0229,0.005,0.0003
gaussian,LASSO,50,60,1.2,100,0.1438,0.0208,0.019,0.0029,0.0313,0.0041,0.136,0.0281,0.0087,0.0015
gaussian,LASSO,50,125,2.5,100,0.4101,0.0385,0.0238,0.0027,0.0446,0.0049,0.136,0.0292,0.003,0.0002
gaussian,LASSO,50,250,5.0,100,0.75,0.0306,0.0546,0.0041,0.101,0.0071,0.142,0.0278,0.0038,0.0003
gaussian,LASSO,50,500,10.0,100,0.914,0.0126,0.1376,0.0068,0.2377,0.0104,0.166,0.0277,0.0077,0.0004
gaussian,LASSO,100,60,0.6,100,0.2225,0.0249,0.0062,0.0008,0.0121,0.0015,0.07,0.0198,0.0014,0.0001
gaussian,LASSO,100,120,1.2,100,0.4412,0.0251,0.0124,0.001,0.0242,0.0018,0.058,0.0198,0.0014,0.0001
gaussian,LASSO,100,250,2.5,100,0.8043,0.0189,0.0299,0.0016,0.0575,0.003,0.062,0.0201,0.0019,0.0001
gaussian,LASSO,100,500,5.0,100,0.9637,0.0058,0.0712,0.0023,0.1323,0.004,0.04,0.0169,0.0037,0.0001
gaussian,LASSO,100,1000,10.0,100,0.9931,0.0019,0.1411,0.0032,0.2467,0.0048,0.016,0.0108,0.0072,0.0002
garch,OLS,20,12,0.6,100,0.062,0.0078,0.099,0.0129,0.0756,0.0095,0.266,0.0352,0.0838,0.0031
garch,OLS,20,20,1.0,100,0.0903,0.0099,0.1245,0.0143,0.1037,0.0113,0.282,0.0366,0.0724,0.0026
garch,OLS,20,50,2.5,100,0.1206,0.0125,0.163,0.0169,0.137,0.0138,0.274,0.0302,0.0723,0.0031
garch,OLS,20,100,5.0,100,0.1598,0.0103,0.2855,0.0197,0.2029,0.0128,0.326,0.036,0.0956,0.0041
garch,OLS,20,200,10.0,100,0.1782,0.0102,0.4255,0.0211,0.2492,0.0128,0.368,0.0355,0.1291,0.0049
garch,OLS,50,30,0.6,100,0.0887,0.004,0.1216,0.0059,0.1024,0.0047,0.11,0.0273,0.07,0.0013
garch,OLS,50,60,1.2,100,0.1258,0.0044,0.1985,0.0077,0.1536,0.0054,0.122,0.0276,0.0806,0.0017
garch,OLS,50,125,2.5,100,0.1612,0.0042,0.3324,0.0092,0.2166,0.0054,0.164,0.03,0.1057,0.0022
garch,OLS,50,250,5.0,100,0.1636,0.0045,0.4871,0.0091,0.2441,0.0055,0.168,0.0332,0.154,0.0041
garch,OLS,50,500,10.0,100,0.1319,0.0038,0.597,0.0088,0.2153,0.0053,0.184,0.028,0.2357,0.0074
garch,OLS,100,60,0.6,100,0.1208,0.0021,0.1945,0.0039,0.1489,0.0026,0.052,0.0184,0.0813,0.0011
garch,OLS,100,120,1.2,100,0.1506,0.0022,0.3222,0.0043,0.2049,0.0023,0.066,0.0226,0.1086,0.002
garch,OLS,100,250,2.5,100,0.1389,0.0031,0.4877,0.0049,0.2156,0.0037,0.078,0.0232,0.1799,0.005
garch,OLS,100,500,5.0,100,0.1032,0.003,0.6089,0.0054,0.1759,0.0043,0.072,0.0191,0.3051,0.0105
garch,OLS,100,1000,10.0,100,0.0751,0.0018,0.7057,0.0073,0.1355,0.003,0.06,0.0191,0.4839,0.0163
garch,LASSO,20,12,0.6,100,0.0628,0.0127,0.0445,0.0092,0.0511,0.0103,0.242,0.0305,0.0363,0.002
garch,LASSO,20,20,1.0,100,0.1006,0.0277,0.038,0.0088,0.0526,0.0118,0.272,0.0363,0.0215,0.0017
garch,LASSO,20,50,2.5,100,0.2054,0.035,0.083,0.0132,0.1138,0.0174,0.312,0.0392,0.0218,0.0018
garch,LASSO,20,100,5.0,100,0.3523,0.0391,0.14,0.0179,0.1925,0.0219,0.314,0.0325,0.0216,0.002
garch,LASSO,20,200,10.0,100,0.4451,0.0336,0.2525,0.0193,0.3119,0.0207,0.376,0.0404,0.0319,0.0022
garch,LASSO,50,30,0.6,100,0.1652,0.0175,0.0202,0.0022,0.0357,0.0039,0.086,0.0227,0.0062,0.0003
garch,LASSO,50,60,1.2,100,0.1956,0.0195,0.0474,0.0042,0.0738,0.0062,0.122,0.0264,0.0141,0.0013
garch,LASSO,50,125,2.5,100,0.575,0.0258,0.1142,0.0082,0.1894,0.0125,0.148,0.028,0.01,0.0004
garch,LASSO,50,250,5.0,100,0.7602,0.013,0.243,0.0088,0.3663,0.0108,0.232,0.0351,0.0163,0.0005
garch,LASSO,50,500,10.0,100,0.7824,0.0147,0.399,0.0121,0.5247,0.0114,0.324,0.0373,0.0263,0.001
garch,LASSO,100,60,0.6,100,0.4474,0.0232,0.0253,0.0018,0.0478,0.0033,0.08,0.0239,0.0028,0.0001
garch,LASSO,100,120,1.2,100,0.7459,0.0189,0.0607,0.0029,0.1119,0.005,0.108,0.0229,0.0041,0.0002
garch,LASSO,100,250,2.5,100,0.9333,0.0055,0.1734,0.0054,0.2916,0.0077,0.156,0.0296,0.0094,0.0003
garch,LASSO,100,500,5.0,100,0.9361,0.0084,0.3715,0.0082,0.5299,0.0079,0.256,0.0379,0.0201,0.0006
garch,LASSO,100,1000,10.0,100,0.5856,0.0282,0.5929,0.0102,0.5757,0.0132,0.118,0.0294,0.0554,0.0038
garch_factor,OLS,20,12,0.6,100,0.0698,0.0105,0.109,0.0147,0.0836,0.0118,0.268,0.0353,0.0842,0.0046
garch_factor,OLS,20,20,1.0,100,0.0749,0.0097,0.098,0.0137,0.0831,0.0108,0.292,0.035,0.0697,0.004
garch_factor,OLS,20,50,2.5,100,0.1213,0.0128,0.162,0.0188,0.137,0.0148,0.276,0.036,0.0695,0.0033
garch_factor,OLS,20,100,5.0,100,0.1573,0.0112,0.255,0.0203,0.1925,0.0136,0.318,0.0329,0.0858,0.0034
garch_factor,OLS,20,200,10.0,100,0.1893,0.0113,0.4195,0.0191,0.2582,0.0132,0.356,0.0364,0.1211,0.0049
