method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.07692307692307693,0.2857142857142857,0.044444444444444446,0.0,0.008045977011494253,30,60,0,2.0,gaussian
OLS-TE,0.19148936170212766,0.1836734693877551,0.2,0.4,0.05632183908045977,30,60,0,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.4,0.0022988505747126436,30,60,1,2.0,gaussian
OLS-TE,0.11764705882352941,0.10526315789473684,0.13333333333333333,0.2,0.06551724137931035,30,60,1,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.4,0.008045977011494253,30,60,2,2.0,gaussian
OLS-TE,0.08791208791208792,0.08695652173913043,0.08888888888888889,0.2,0.052873563218390804,30,60,2,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.4,0.004597701149425287,30,60,3,2.0,gaussian
OLS-TE,0.16666666666666666,0.1794871794871795,0.15555555555555556,0.4,0.04482758620689655,30,60,3,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.2,0.008045977011494253,30,60,4,2.0,gaussian
OLS-TE,0.06382978723404255,0.061224489795918366,0.06666666666666667,0.2,0.05632183908045977,30,60,4,2.0,gaussian
LASSO-TE,0.06451612903225806,0.11764705882352941,0.044444444444444446,0.2,0.01954022988505747,30,60,0,2.0,garch_only
OLS-TE,0.14705882352941177,0.10989010989010989,0.2222222222222222,0.0,0.10459770114942529,30,60,0,2.0,garch_only
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.2,0.010344827586206896,30,60,1,2.0,garch_only
OLS-TE,0.16363636363636364,0.13846153846153847,0.2,0.2,0.07471264367816093,30,60,1,2.0,garch_only
LASSO-TE,0.07272727272727272,0.2,0.044444444444444446,0.2,0.011494252873563218,30,60,2,2.0,garch_only
OLS-TE,0.10714285714285714,0.08955223880597014,0.13333333333333333,0.2,0.07701149425287357,30,60,2,2.0,garch_only
LASSO-TE,0.14285714285714285,0.36363636363636365,0.08888888888888889,0.2,0.01264367816091954,30,60,3,2.0,garch_only
OLS-TE,0.15503875968992248,0.11904761904761904,0.2222222222222222,0.2,0.09655172413793103,30,60,3,2.0,garch_only
LASSO-TE,0.23333333333333334,0.4666666666666667,0.15555555555555556,0.2,0.017241379310344827,30,60,4,2.0,garch_only
OLS-TE,0.2542372881355932,0.2054794520547945,0.3333333333333333,0.2,0.0839080459770115,30,60,4,2.0,garch_only
LASSO-TE,0.03389830508474576,0.07142857142857142,0.022222222222222223,0.2,0.016091954022988506,30,60,0,2.0,factor_only
OLS-TE,0.1553398058252427,0.13793103448275862,0.17777777777777778,0.2,0.06666666666666667,30,60,0,2.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.4,0.0034482758620689655,30,60,1,2.0,factor_only
OLS-TE,0.10526315789473684,0.1,0.1111111111111111,0.2,0.05747126436781609,30,60,1,2.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.4,0.004597701149425287,30,60,2,2.0,factor_only
OLS-TE,0.15730337078651685,0.1590909090909091,0.15555555555555556,0.2,0.05057471264367816,30,60,2,2.0,factor_only
LASSO-TE,0.03773584905660377,0.125,0.022222222222222223,0.0,0.009195402298850575,30,60,3,2.0,factor_only
OLS-TE,0.1487603305785124,0.11842105263157894,0.2,0.2,0.08735632183908046,30,60,3,2.0,factor_only
LASSO-TE,0.0392156862745098,0.16666666666666666,0.022222222222222223,0.0,0.006896551724137931,30,60,4,2.0,factor_only
OLS-TE,0.09345794392523364,0.08064516129032258,0.1111111111111111,0.2,0.07126436781609195,30,60,4,2.0,factor_only
