N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,12,0.6,0,OLS,,,,,
20,12,0.6,0,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.4,0.018421052631578946
20,12,0.6,0,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,1,OLS,,,,,
20,12,0.6,1,LASSO,0.0,0.0,0.0,0.2,0.039473684210526314
20,12,0.6,1,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,2,OLS,,,,,
20,12,0.6,2,LASSO,0.0,0.0,0.0,0.2,0.021052631578947368
20,12,0.6,2,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,3,OLS,,,,,
20,12,0.6,3,LASSO,0.05555555555555555,0.05,0.05263157894736842,0.4,0.04736842105263158
20,12,0.6,3,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,12,0.6,4,OLS,,,,,
20,12,0.6,4,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.2,0.03684210526315789
20,12,0.6,4,KNN,0.15789473684210525,0.15,0.15384615384615385,0.4,0.05
20,12,0.6,5,OLS,,,,,
20,12,0.6,5,LASSO,0.0,0.0,0.0,0.4,0.04473684210526316
20,12,0.6,5,KNN,0.0,0.0,0.0,0.0,0.05
20,12,0.6,6,OLS,,,,,
20,12,0.6,6,LASSO,0.0,0.0,0.0,0.4,0.007894736842105263
20,12,0.6,6,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,7,OLS,,,,,
20,12,0.6,7,LASSO,0.0625,0.05,0.05555555555555555,0.2,0.042105263157894736
20,12,0.6,7,KNN,0.0,0.0,0.0,0.0,0.05
20,12,0.6,8,OLS,,,,,
20,12,0.6,8,LASSO,0.0,0.0,0.0,0.6,0.034210526315789476
20,12,0.6,8,KNN,0.0,0.0,0.0,0.0,0.05
20,12,0.6,9,OLS,,,,,
20,12,0.6,9,LASSO,0.0,0.0,0.0,0.4,0.031578947368421054
20,12,0.6,9,KNN,0.15789473684210525,0.15,0.15384615384615385,0.2,0.05
20,12,0.6,10,OLS,,,,,
20,12,0.6,10,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.2,0.02894736842105263
20,12,0.6,10,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,11,OLS,,,,,
20,12,0.6,11,LASSO,0.1,0.05,0.06666666666666667,0.0,0.02631578947368421
20,12,0.6,11,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,12,OLS,,,,,
20,12,0.6,12,LASSO,0.125,0.1,0.1111111111111111,0.2,0.042105263157894736
20,12,0.6,12,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,13,OLS,,,,,
20,12,0.6,13,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.4,0.03684210526315789
20,12,0.6,13,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,12,0.6,14,OLS,,,,,
20,12,0.6,14,LASSO,0.0,0.0,0.0,0.4,0.02894736842105263
20,12,0.6,14,KNN,0.0,0.0,0.0,0.4,0.05
20,12,0.6,15,OLS,,,,,
20,12,0.6,15,LASSO,0.0,0.0,0.0,0.4,0.03684210526315789
20,12,0.6,15,KNN,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
20,12,0.6,16,OLS,,,,,
20,12,0.6,16,LASSO,0.2222222222222222,0.1,0.13793103448275862,0.4,0.02368421052631579
20,12,0.6,16,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,17,OLS,,,,,
20,12,0.6,17,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.2,0.03684210526315789
20,12,0.6,17,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,18,OLS,,,,,
20,12,0.6,18,LASSO,0.0,0.0,0.0,0.0,0.02631578947368421
20,12,0.6,18,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,19,OLS,,,,,
20,12,0.6,19,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.2,0.03684210526315789
20,12,0.6,19,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,12,0.6,20,OLS,,,,,
20,12,0.6,20,LASSO,0.125,0.15,0.13636363636363635,0.8,0.06315789473684211
20,12,0.6,20,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,21,OLS,,,,,
20,12,0.6,21,LASSO,0.0,0.0,0.0,0.2,0.034210526315789476
20,12,0.6,21,KNN,0.0,0.0,0.0,0.0,0.05
20,12,0.6,22,OLS,,,,,
20,12,0.6,22,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.0,0.04473684210526316
