N,T,T/N,method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hub_recovery_mean,hub_recovery_std,density_mean,density_std
20,12,0.6,KNN,0.06315789473684211,0.04634897746593215,0.06,0.04403152859263555,0.061538461538461535,0.04516054214629287,0.264,0.1997549519194118,0.05,0.0
20,12,0.6,LASSO,0.05861790454127916,0.0685005312147334,0.04,0.046291004988627565,0.04629968774413209,0.05268808577548673,0.26,0.18182745801939793,0.035526315789473684,0.011430673530459227
20,12,0.6,OLS,,,,,,,,,,
20,50,2.5,KNN,0.06736842105263158,0.054260506925319446,0.064,0.05154748157905347,0.06564102564102564,0.05286921187595228,0.28400000000000003,0.15167096502842287,0.05,0.0
20,50,2.5,LASSO,0.14655044955044955,0.13397354415170576,0.057,0.04949747468305833,0.07961911457512125,0.06801821251957896,0.26,0.16288220358559116,0.021,0.008597276683612263
20,50,2.5,OLS,,,,,,,,,,
20,100,5.0,KNN,0.061052631578947365,0.054592886799011565,0.057999999999999996,0.051863242459060994,0.05948717948717949,0.0531930691887805,0.22400000000000003,0.17444957168541425,0.05,0.0
20,100,5.0,LASSO,0.31769588744588745,0.19498837519497111,0.12300000000000001,0.0881846393213971,0.17199667783938227,0.11483916743346333,0.36800000000000005,0.18232064152621508,0.019894736842105264,0.00842575056925628
20,100,5.0,OLS,,,,,,,,,,
50,30,0.6,KNN,0.052845528455284556,0.016609000750377575,0.052000000000000005,0.016343256738371538,0.05241935483870968,0.016475057195939044,0.084,0.12182288917330195,0.05020408163265306,0.0
50,30,0.6,LASSO,0.1394054965726456,0.10834985019967677,0.0152,0.011226790116793428,0.02711292786662231,0.019788697668905175,0.124,0.1450685974261269,0.005795918367346938,0.0018713477009774013
50,30,0.6,OLS,,,,,,,,,,
50,125,2.5,KNN,0.07203252032520326,0.02491065834711206,0.07088,0.02451208781355827,0.07145161290322581,0.024709765941086967,0.11600000000000002,0.14618970063389752,0.05020408163265306,0.0
50,125,2.5,LASSO,0.5748033402072255,0.10314456280895305,0.09888,0.035914092509992876,0.16713053623768587,0.05470191983205343,0.18400000000000002,0.15031938786246749,0.00870204081632653,0.002379180237345013
50,125,2.5,OLS,,,,,,,,,,
50,250,5.0,KNN,0.12796747967479674,0.031329189708235484,0.12592,0.03082792267290371,0.12693548387096773,0.0310765349525239,0.124,0.13932783245984698,0.05020408163265306,0.0
50,250,5.0,LASSO,0.7725535730574659,0.06353539204224169,0.23104,0.04515775522701342,0.3538480325680526,0.05698028119854728,0.196,0.1538087866707974,0.015248979591836735,0.0026345879132452002
50,250,5.0,OLS,,,,,,,,,,
