precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,method
0.25,0.06666666666666667,0.10526315789473684,0.2,0.18853468843158455,0.05172413793103448,0.013793103448275862,30,120,4.0,0,Raw
0.0,0.0,0.0,0.4,-0.26064301757134345,0.05172413793103448,0.0022988505747126436,30,120,4.0,0,Oracle
0.0,0.0,0.0,0.6,,0.05172413793103448,0.0,30,120,4.0,0,Estimated (PCA)
0.2857142857142857,0.044444444444444446,0.07692307692307693,0.4,0.26811258316887104,0.05172413793103448,0.008045977011494253,30,120,4.0,1,Raw
0.25,0.022222222222222223,0.04081632653061224,0.2,-0.10959526179863695,0.05172413793103448,0.004597701149425287,30,120,4.0,1,Oracle
0.0,0.0,0.0,0.4,0.2472125772598103,0.05172413793103448,0.0011494252873563218,30,120,4.0,1,Estimated (PCA)
0.5714285714285714,0.08888888888888889,0.15384615384615385,0.2,0.19420766127593184,0.05172413793103448,0.008045977011494253,30,120,4.0,2,Raw
0.3333333333333333,0.044444444444444446,0.0784313725490196,0.4,0.35857079839538847,0.05172413793103448,0.006896551724137931,30,120,4.0,2,Oracle
0.5,0.022222222222222223,0.0425531914893617,0.2,0.24422500434906544,0.05172413793103448,0.0022988505747126436,30,120,4.0,2,Estimated (PCA)
0.4444444444444444,0.08888888888888889,0.14814814814814814,0.4,0.4859459393647564,0.05172413793103448,0.010344827586206896,30,120,4.0,3,Raw
0.3333333333333333,0.022222222222222223,0.041666666666666664,0.2,0.006034727184372982,0.05172413793103448,0.0034482758620689655,30,120,4.0,3,Oracle
0.2,0.022222222222222223,0.04,0.2,0.04725532686161019,0.05172413793103448,0.005747126436781609,30,120,4.0,3,Estimated (PCA)
0.3333333333333333,0.044444444444444446,0.0784313725490196,0.2,0.040555355282690636,0.05172413793103448,0.006896551724137931,30,120,4.0,4,Raw
0.0,0.0,0.0,0.0,-0.1068366854693644,0.05172413793103448,0.004597701149425287,30,120,4.0,4,Oracle
0.2,0.022222222222222223,0.04,0.2,0.07254762501100116,0.05172413793103448,0.005747126436781609,30,120,4.0,4,Estimated (PCA)
0.0,0.0,0.0,0.0,-0.3150569390338735,0.05172413793103448,0.008045977011494253,30,120,4.0,5,Raw
0.25,0.022222222222222223,0.04081632653061224,0.2,-0.1731664318485059,0.05172413793103448,0.004597701149425287,30,120,4.0,5,Oracle
0.6666666666666666,0.044444444444444446,0.08333333333333333,0.2,0.06886442075565691,0.05172413793103448,0.0034482758620689655,30,120,4.0,5,Estimated (PCA)
0.1111111111111111,0.022222222222222223,0.037037037037037035,0.6,0.008711806224821947,0.05172413793103448,0.010344827586206896,30,120,4.0,6,Raw
