T,period,N_stock,TN_stock,dens_stock_ols,dens_stock_lasso,N_sector,TN_sector,dens_sector_ols,dens_sector_lasso
60,0,50,1.2,0.0331,0.0078,10,6.0,0.0222,0.0111
60,1,50,1.2,0.051,0.0306,10,6.0,0.0333,0.0222
60,2,50,1.2,0.0445,0.0029,10,6.0,0.0222,0.0
60,3,50,1.2,0.0392,0.0237,10,6.0,0.0111,0.0111
60,4,50,1.2,0.0722,0.0078,10,6.0,0.0778,0.0444
60,5,50,1.2,0.0543,0.0037,10,6.0,0.0556,0.0333
60,6,50,1.2,0.0473,0.0053,10,6.0,0.0222,0.0
60,7,50,1.2,0.0743,0.011,10,6.0,0.0333,0.0111
60,8,50,1.2,0.06,0.0192,10,6.0,0.0222,0.0
60,9,50,1.2,0.0759,0.0122,10,6.0,0.0222,0.0
60,10,50,1.2,0.0478,0.0024,10,6.0,0.0444,0.0111
60,11,50,1.2,0.0314,0.0012,10,6.0,0.0778,0.0333
60,12,50,1.2,0.0502,0.0212,10,6.0,0.1889,0.1444
60,13,50,1.2,0.0335,0.0029,10,6.0,0.0222,0.0
60,14,50,1.2,0.0278,0.0037,10,6.0,0.0,0.0
120,0,50,2.4,0.0318,0.0004,10,12.0,0.0,0.0
120,1,50,2.4,0.0363,0.0029,10,12.0,0.0,0.0
120,2,50,2.4,0.0396,0.002,10,12.0,0.0556,0.0
120,3,50,2.4,0.0727,0.0045,10,12.0,0.0778,0.0
120,4,50,2.4,0.0588,0.0078,10,12.0,0.1111,0.0222
120,5,50,2.4,0.0604,0.0041,10,12.0,0.1444,0.0333
120,6,50,2.4,0.051,0.002,10,12.0,0.0556,0.0
120,7,50,2.4,0.0441,0.0037,10,12.0,0.0222,0.0
120,8,50,2.4,0.0743,0.0037,10,12.0,0.1,0.0
120,9,50,2.4,0.0718,0.0033,10,12.0,0.1333,0.0222
120,10,50,2.4,0.0686,0.0008,10,12.0,0.0556,0.0
120,11,50,2.4,0.0645,0.0045,10,12.0,0.0222,0.0
120,12,50,2.4,0.0665,0.0057,10,12.0,0.0333,0.0222
120,13,50,2.4,0.0669,0.0061,10,12.0,0.0333,0.0
120,14,50,2.4,0.0592,0.0024,10,12.0,0.0333,0.0111
252,0,50,5.04,0.0384,0.0,10,25.2,0.0,0.0
252,1,50,5.04,0.0755,0.0037,10,25.2,0.1778,0.0
252,2,50,5.04,0.0682,0.0045,10,25.2,0.1444,0.0444
252,3,50,5.04,0.0596,0.0004,10,25.2,0.0333,0.0
252,4,50,5.04,0.0702,0.0041,10,25.2,0.0444,0.0
252,5,50,5.04,0.0576,0.0049,10,25.2,0.0667,0.0
252,6,50,5.04,0.0531,0.0024,10,25.2,0.0222,0.0
252,7,50,5.04,0.1388,0.0053,10,25.2,0.1,0.0778
252,8,50,5.04,0.158,0.0037,10,25.2,0.1778,0.1
