N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,0,0,Oracle_NIO,-0.8983796837280068,39,11
50,500,10.0,0,0,LASSO_NIO,-0.36807307457205357,47,3
50,500,10.0,0,5,Oracle_NIO,-1.473438332443294,39,11
50,500,10.0,0,5,LASSO_NIO,-0.8453024640312202,47,3
50,500,10.0,0,10,Oracle_NIO,-0.36884240398304463,39,11
50,500,10.0,0,10,LASSO_NIO,-0.5023831078025481,47,3
50,500,10.0,0,15,Oracle_NIO,-0.08409686036559529,39,11
50,500,10.0,0,15,LASSO_NIO,0.9202548344012649,47,3
50,500,10.0,0,20,Oracle_NIO,-0.9431206183613702,39,11
50,500,10.0,0,20,LASSO_NIO,0.03163620316056463,47,3
50,500,10.0,0,25,Oracle_NIO,-0.5946673241033975,39,11
50,500,10.0,0,25,LASSO_NIO,-0.3415666244898305,47,3
50,500,10.0,0,30,Oracle_NIO,-0.6403471314907005,39,11
50,500,10.0,0,30,LASSO_NIO,-1.2462124722063805,47,3
50,500,10.0,0,35,Oracle_NIO,-0.3655200371396796,39,11
50,500,10.0,0,35,LASSO_NIO,-1.891921730242108,47,3
50,500,10.0,0,40,Oracle_NIO,0.8322977785089372,39,11
50,500,10.0,0,40,LASSO_NIO,-0.5715827417091153,47,3
50,500,10.0,0,45,Oracle_NIO,-0.1957630112412737,39,11
50,500,10.0,0,45,LASSO_NIO,0.49159147207352155,47,3
50,500,10.0,0,50,Oracle_NIO,-1.07612900357162,39,11
50,500,10.0,0,50,LASSO_NIO,0.5829954194378676,47,3
50,500,10.0,0,55,Oracle_NIO,-0.6575480234653865,39,11
50,500,10.0,0,55,LASSO_NIO,-1.3138741327325567,47,3
50,500,10.0,0,60,Oracle_NIO,-1.3113491975839355,39,11
50,500,10.0,0,60,LASSO_NIO,0.3693084752477581,47,3
50,500,10.0,0,65,Oracle_NIO,-1.8541160459140118,39,11
50,500,10.0,0,65,LASSO_NIO,-0.7216817124870526,47,3
50,500,10.0,0,70,Oracle_NIO,0.7564712730683857,39,11
50,500,10.0,0,70,LASSO_NIO,-0.6806173324314229,47,3
50,500,10.0,0,75,Oracle_NIO,0.8391518518043681,39,11
50,500,10.0,0,75,LASSO_NIO,1.6033905044959142,47,3
50,500,10.0,0,80,Oracle_NIO,1.8440150630379386,39,11
50,500,10.0,0,80,LASSO_NIO,1.3925154243034417,47,3
50,500,10.0,0,85,Oracle_NIO,-0.2935996712963935,39,11
50,500,10.0,0,85,LASSO_NIO,-0.276735891561778,47,3
