method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio
LASSO-TE,0.07017543859649122,0.16666666666666666,0.044444444444444446,0.05172413793103448,0.013793103448275862,30,60,0,2.0
OLS-TE,0.19148936170212766,0.1836734693877551,0.2,0.05172413793103448,0.05632183908045977,30,60,0,2.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0011494252873563218,30,60,1,2.0
OLS-TE,0.11650485436893204,0.10344827586206896,0.13333333333333333,0.05172413793103448,0.06666666666666667,30,60,1,2.0
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.05172413793103448,0.008045977011494253,30,60,2,2.0
OLS-TE,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05172413793103448,0.05172413793103448,30,60,2,2.0
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.05172413793103448,0.004597701149425287,30,60,3,2.0
OLS-TE,0.16279069767441862,0.17073170731707318,0.15555555555555556,0.05172413793103448,0.047126436781609195,30,60,3,2.0
LASSO-TE,0.07142857142857142,0.18181818181818182,0.044444444444444446,0.05172413793103448,0.01264367816091954,30,60,4,2.0
OLS-TE,0.06315789473684211,0.06,0.06666666666666667,0.05172413793103448,0.05747126436781609,30,60,4,2.0
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.05172413793103448,0.009195402298850575,30,60,5,2.0
OLS-TE,0.10416666666666667,0.09803921568627451,0.1111111111111111,0.05172413793103448,0.05862068965517241,30,60,5,2.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0034482758620689655,30,60,6,2.0
OLS-TE,0.08791208791208792,0.08695652173913043,0.08888888888888889,0.05172413793103448,0.052873563218390804,30,60,6,2.0
LASSO-TE,0.08,0.4,0.044444444444444446,0.05172413793103448,0.005747126436781609,30,60,7,2.0
OLS-TE,0.136986301369863,0.17857142857142858,0.1111111111111111,0.05172413793103448,0.03218390804597701,30,60,7,2.0
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.004597701149425287,30,60,8,2.0
OLS-TE,0.08333333333333333,0.0784313725490196,0.08888888888888889,0.05172413793103448,0.05862068965517241,30,60,8,2.0
LASSO-TE,0.037037037037037035,0.1111111111111111,0.022222222222222223,0.05172413793103448,0.010344827586206896,30,60,9,2.0
OLS-TE,0.1276595744680851,0.12244897959183673,0.13333333333333333,0.05172413793103448,0.05632183908045977,30,60,9,2.0
LASSO-TE,0.18867924528301888,0.625,0.1111111111111111,0.05172413793103448,0.009195402298850575,30,120,0,4.0
