method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.07692307692307693,0.2857142857142857,0.044444444444444446,0.05172413793103448,0.008045977011494253,30,60,0,2.0,gaussian
OLS-TE,0.19148936170212766,0.1836734693877551,0.2,0.05172413793103448,0.05632183908045977,30,60,0,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0022988505747126436,30,60,1,2.0,gaussian
OLS-TE,0.11764705882352941,0.10526315789473684,0.13333333333333333,0.05172413793103448,0.06551724137931035,30,60,1,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.05172413793103448,0.008045977011494253,30,60,2,2.0,gaussian
OLS-TE,0.08791208791208792,0.08695652173913043,0.08888888888888889,0.05172413793103448,0.052873563218390804,30,60,2,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.004597701149425287,30,60,3,2.0,gaussian
OLS-TE,0.16666666666666666,0.1794871794871795,0.15555555555555556,0.05172413793103448,0.04482758620689655,30,60,3,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.05172413793103448,0.008045977011494253,30,60,4,2.0,gaussian
OLS-TE,0.06382978723404255,0.061224489795918366,0.06666666666666667,0.05172413793103448,0.05632183908045977,30,60,4,2.0,gaussian
LASSO-TE,0.04,0.2,0.022222222222222223,0.05172413793103448,0.005747126436781609,30,60,5,2.0,gaussian
OLS-TE,0.12244897959183673,0.11320754716981132,0.13333333333333333,0.05172413793103448,0.06091954022988506,30,60,5,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0011494252873563218,30,60,6,2.0,gaussian
OLS-TE,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.05172413793103448,0.05172413793103448,30,60,6,2.0,gaussian
LASSO-TE,0.08,0.4,0.044444444444444446,0.05172413793103448,0.005747126436781609,30,60,7,2.0,gaussian
OLS-TE,0.10526315789473684,0.12903225806451613,0.08888888888888889,0.05172413793103448,0.035632183908045977,30,60,7,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.004597701149425287,30,60,8,2.0,gaussian
OLS-TE,0.08333333333333333,0.0784313725490196,0.08888888888888889,0.05172413793103448,0.05862068965517241,30,60,8,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.05172413793103448,0.008045977011494253,30,60,9,2.0,gaussian
OLS-TE,0.125,0.11764705882352941,0.13333333333333333,0.05172413793103448,0.05862068965517241,30,60,9,2.0,gaussian
LASSO-TE,0.16,0.8,0.08888888888888889,0.05172413793103448,0.005747126436781609,30,120,0,4.0,gaussian
OLS-TE,0.26,0.23636363636363636,0.28888888888888886,0.05172413793103448,0.06321839080459771,30,120,0,4.0,gaussian
LASSO-TE,0.0784313725490196,0.3333333333333333,0.044444444444444446,0.05172413793103448,0.006896551724137931,30,120,1,4.0,gaussian
OLS-TE,0.21359223300970873,0.1896551724137931,0.24444444444444444,0.05172413793103448,0.06666666666666667,30,120,1,4.0,gaussian
LASSO-TE,0.12244897959183673,0.75,0.06666666666666667,0.05172413793103448,0.004597701149425287,30,120,2,4.0,gaussian
OLS-TE,0.1941747572815534,0.1724137931034483,0.2222222222222222,0.05172413793103448,0.06666666666666667,30,120,2,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0022988505747126436,30,120,3,4.0,gaussian
OLS-TE,0.10989010989010989,0.10869565217391304,0.1111111111111111,0.05172413793103448,0.052873563218390804,30,120,3,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.0034482758620689655,30,120,4,4.0,gaussian
OLS-TE,0.18556701030927836,0.17307692307692307,0.2,0.05172413793103448,0.059770114942528735,30,120,4,4.0,gaussian
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.05172413793103448,0.004597701149425287,30,120,5,4.0,gaussian
OLS-TE,0.14814814814814814,0.12698412698412698,0.17777777777777778,0.05172413793103448,0.07241379310344828,30,120,5,4.0,gaussian
LASSO-TE,0.11538461538461539,0.42857142857142855,0.06666666666666667,0.05172413793103448,0.008045977011494253,30,120,6,4.0,gaussian
OLS-TE,0.3010752688172043,0.2916666666666667,0.3111111111111111,0.05172413793103448,0.05517241379310345,30,120,6,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.005747126436781609,30,120,7,4.0,gaussian
OLS-TE,0.14893617021276595,0.14285714285714285,0.15555555555555556,0.05172413793103448,0.05632183908045977,30,120,7,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.05172413793103448,0.004597701149425287,30,120,8,4.0,gaussian
OLS-TE,0.26,0.23636363636363636,0.28888888888888886,0.05172413793103448,0.06321839080459771,30,120,8,4.0,gaussian
LASSO-TE,0.07142857142857142,0.18181818181818182,0.044444444444444446,0.05172413793103448,0.01264367816091954,30,120,9,4.0,gaussian
OLS-TE,0.20168067226890757,0.16216216216216217,0.26666666666666666,0.05172413793103448,0.08505747126436781,30,120,9,4.0,gaussian
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.05172413793103448,0.004597701149425287,30,250,0,8.333333333333334,gaussian
OLS-TE,0.24242424242424243,0.2222222222222222,0.26666666666666666,0.05172413793103448,0.06206896551724138,30,250,0,8.333333333333334,gaussian
LASSO-TE,0.125,1.0,0.06666666666666667,0.05172413793103448,0.0034482758620689655,30,250,1,8.333333333333334,gaussian
OLS-TE,0.29473684210526313,0.28,0.3111111111111111,0.05172413793103448,0.05747126436781609,30,250,1,8.333333333333334,gaussian
LASSO-TE,0.16326530612244897,1.0,0.08888888888888889,0.05172413793103448,0.004597701149425287,30,250,2,8.333333333333334,gaussian
OLS-TE,0.25806451612903225,0.25,0.26666666666666666,0.05172413793103448,0.05517241379310345,30,250,2,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.05172413793103448,0.006896551724137931,30,250,3,8.333333333333334,gaussian
OLS-TE,0.3829787234042553,0.3673469387755102,0.4,0.05172413793103448,0.05632183908045977,30,250,3,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.05172413793103448,0.006896551724137931,30,250,4,8.333333333333334,gaussian
OLS-TE,0.30612244897959184,0.2830188679245283,0.3333333333333333,0.05172413793103448,0.06091954022988506,30,250,4,8.333333333333334,gaussian
LASSO-TE,0.11320754716981132,0.375,0.06666666666666667,0.05172413793103448,0.009195402298850575,30,250,5,8.333333333333334,gaussian
OLS-TE,0.3047619047619048,0.26666666666666666,0.35555555555555557,0.05172413793103448,0.06896551724137931,30,250,5,8.333333333333334,gaussian
LASSO-TE,0.16,0.8,0.08888888888888889,0.05172413793103448,0.005747126436781609,30,250,6,8.333333333333334,gaussian
