T_N_ratio,premium,t_oracle,t_lasso,t_ols,power_oracle,power_lasso,power_ols,trials
2,0.03,0.28536824665874666,0.11994634432747457,-0.02538677339914288,0.05,0.08,0.04,100
2,0.05,0.4301803973786237,0.1309937579847459,-0.010336314384320734,0.07,0.08,0.04,100
2,0.1,0.7922107741783162,0.1578802088795734,0.02698321883022821,0.13,0.07,0.04,100
2,0.2,1.5162715277777012,0.20735788248899895,0.09866429254720728,0.26,0.08,0.03,100
2,0.3,2.240332281377086,0.2496588429684487,0.16386493727374313,0.56,0.09,0.04,100
5,0.03,0.0790897991380279,-0.31570540744206715,0.09755161287373419,0.07,0.17,0.1,100
5,0.05,0.17954740356712054,-0.2948651033271026,0.12143632903235947,0.08,0.17,0.1,100
5,0.1,0.4306914146398523,-0.24261629769220824,0.1803454656524339,0.11,0.16,0.1,100
5,0.2,0.9329794367853157,-0.1384446728807369,0.29354156870551834,0.2,0.16,0.13,100
5,0.3,1.4352674589307783,-0.03650367723529442,0.3988621203501223,0.35,0.19,0.12,100
10,0.03,-0.012635471858996973,0.2736224683902473,0.22066764303347708,0.02,0.25,0.06,100
10,0.05,0.02855812065943835,0.2876880729707313,0.22897538857631503,0.02,0.25,0.06,100
10,0.1,0.13154210195552657,0.3227218831135812,0.24967394649423752,0.02,0.24,0.06,100
10,0.2,0.3375100645477032,0.39194906590800194,0.29059417481093136,0.02,0.23,0.07,100
10,0.3,0.5434780271398797,0.45953636173779744,0.33055541128951943,0.08,0.25,0.06,100
