formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2019-03-28,2019-03-29,2019-04-04,2.43223415671303e-06,3.895015190372328e-05,3.2211202583192204e-06,0.2475,100
2019-04-04,2019-04-05,2019-04-11,2.490465038330093e-06,4.0745903757606875e-05,3.2984250640056886e-06,0.2475,100
2019-04-11,2019-04-12,2019-04-18,2.5317028271682e-06,3.7171692044619216e-05,3.4062504967937604e-06,0.2475,100
2019-04-18,2019-04-22,2019-04-26,2.5421169176211746e-06,4.3990695528442326e-05,3.4077680584959706e-06,0.2475,100
2019-04-26,2019-04-29,2019-05-03,2.606532185357022e-06,3.751836430662053e-05,3.4977893792454806e-06,0.2475,100
2019-05-03,2019-05-06,2019-05-10,2.5124395645025292e-06,6.17659464679792e-05,3.2867776410246784e-06,0.24752576267727783,99
2019-05-10,2019-05-13,2019-05-17,2.538690880266129e-06,4.99172077579764e-05,3.321678083853074e-06,0.24752576267727783,99
2019-05-17,2019-05-20,2019-05-24,2.4908070917735066e-06,4.162940267795228e-05,3.2397200890665285e-06,0.2475,100
2019-05-24,2019-05-28,2019-06-03,2.4622686895398267e-06,4.1282170245500886e-05,3.29270141017162e-06,0.2475,100
2019-06-03,2019-06-04,2019-06-10,2.5420557459496252e-06,6.548837543857547e-05,3.3941836529273906e-06,0.24752576267727783,99
2019-06-10,2019-06-11,2019-06-17,2.4796309254447467e-06,6.751090133592131e-05,3.2775915005758234e-06,0.24752576267727783,99
2019-06-17,2019-06-18,2019-06-24,2.4798766128961977e-06,6.134109904752057e-05,3.279669886222617e-06,0.24752576267727783,99
2019-06-24,2019-06-25,2019-07-01,2.4084826282420985e-06,6.154177138622422e-05,3.1805132096895494e-06,0.2475,100
2019-07-01,2019-07-02,2019-07-09,2.3522485892808343e-06,5.962741488662106e-05,3.06574748516876e-06,0.2475,100
2019-07-09,2019-07-10,2019-07-16,2.3950475327373367e-06,6.220170211356477e-05,3.1359768782211623e-06,0.2475,100
2019-07-16,2019-07-17,2019-07-23,2.3851436079463287e-06,6.27569636654311e-05,3.1161018845863054e-06,0.2475,100
2019-07-23,2019-07-24,2019-07-30,2.4068776279750535e-06,5.74127606274024e-05,3.1733834063557358e-06,0.2475,100
2019-07-30,2019-07-31,2019-08-06,2.459969481543019e-06,4.9620249019742695e-05,3.2804021397580244e-06,0.2475,100
2019-08-06,2019-08-07,2019-08-13,2.5179150527962716e-06,4.4925772330244234e-05,3.352633048795375e-06,0.2475,100
2019-08-13,2019-08-14,2019-08-20,2.59233511077736e-06,4.6377256344510045e-05,3.4534023770907662e-06,0.2475,100
2019-08-20,2019-08-21,2019-08-27,2.545807807043964e-06,4.795004296711131e-05,3.408405281356554e-06,0.2475,100
2019-08-27,2019-08-28,2019-09-04,2.5779459490524013e-06,4.600773882426855e-05,3.4164376343886983e-06,0.2475,100
2019-09-04,2019-09-05,2019-09-11,2.479079672326266e-06,5.0392287652930583e-05,3.2655731185853936e-06,0.2475,100
2019-09-11,2019-09-12,2019-09-18,2.5514034742102585e-06,5.5123825190080296e-05,3.3006806873131654e-06,0.2475,100
2019-09-18,2019-09-19,2019-09-25,2.497393482692381e-06,5.0732371843962185e-05,3.263996238751572e-06,0.2475,100
2019-09-25,2019-09-26,2019-10-02,2.524490978778251e-06,5.1209645643635374e-05,3.270210940159133e-06,0.2475,100
2019-10-02,2019-10-03,2019-10-09,2.5208967350411277e-06,5.2005576892737385e-05,3.355347254238217e-06,0.2475,100
2019-10-09,2019-10-10,2019-10-16,2.5538351784792406e-06,5.532451080404925e-05,3.4554904970260767e-06,0.2475,100
2019-10-16,2019-10-17,2019-10-23,2.554641557181924e-06,5.880757064757816e-05,3.484702694157709e-06,0.2475,100
2019-10-23,2019-10-24,2019-10-30,2.522554287148645e-06,6.042303445694465e-05,3.3306688285673238e-06,0.2475,100
2019-10-30,2019-10-31,2019-11-06,2.5073300486863405e-06,7.332798493405794e-05,3.2994142781647835e-06,0.2475,100
2019-11-06,2019-11-07,2019-11-13,2.5758125979151397e-06,8.241819798175973e-05,3.4073955054942347e-06,0.2475,100
2019-11-13,2019-11-14,2019-11-20,2.6253201569295225e-06,8.13622844998702e-05,3.4021284286741825e-06,0.2475,100
2019-11-20,2019-11-21,2019-11-27,2.513845311566904e-06,7.32659811170433e-05,3.2919532302093776e-06,0.2475,100
2019-11-27,2019-11-29,2019-12-05,2.5099870858207476e-06,8.005163727393798e-05,3.21289838257484e-06,0.2475,100
2019-12-05,2019-12-06,2019-12-12,2.4928530610591748e-06,8.02947389513087e-05,3.246080675910373e-06,0.2475,100
2019-12-12,2019-12-13,2019-12-19,2.542838119701496e-06,7.725769761360097e-05,3.405489439693179e-06,0.2475,100
2019-12-19,2019-12-20,2019-12-27,2.529215648018046e-06,7.64985864411815e-05,3.3349428606250287e-06,0.2475,100
2019-12-27,2019-12-30,2020-01-06,2.606405366118196e-06,7.466151569728367e-05,3.401989352224506e-06,0.2475,100
2020-01-06,2020-01-07,2020-01-13,2.5701788953080313e-06,5.989759907836645e-05,3.436528235666713e-06,0.2475,100
2020-01-13,2020-01-14,2020-01-21,2.501399995494087e-06,5.100629272521347e-05,3.272988404065061e-06,0.24752576267727783,99
2020-01-21,2020-01-22,2020-01-28,2.5003229097535358e-06,5.1031804767064424e-05,3.250398030384563e-06,0.24752576267727783,99
2020-01-28,2020-01-29,2020-02-04,2.488607732548584e-06,4.26409625154568e-05,3.3439784799952057e-06,0.24752576267727783,99
2020-02-04,2020-02-05,2020-02-11,2.537150312389612e-06,4.0434801243603386e-05,3.3816489108012188e-06,0.2475,100
2020-02-11,2020-02-12,2020-02-19,2.52247233461304e-06,4.5075071872312915e-05,3.3975193844136592e-06,0.2475,100
2020-02-19,2020-02-20,2020-02-26,2.5569666018470936e-06,5.120302262637874e-05,3.408258364025731e-06,0.2475,100
2020-02-26,2020-02-27,2020-03-04,2.5485963352119433e-06,5.9111253229750933e-05,3.4024466982504223e-06,0.2475,100
2020-03-04,2020-03-05,2020-03-11,2.836092193960941e-06,4.4186742232330095e-05,3.7786933577504766e-06,0.2475,100
2020-03-11,2020-03-12,2020-03-18,2.7874658336660995e-06,4.139814086225947e-05,3.7733002843193946e-06,0.2475,100
2020-03-18,2020-03-19,2020-03-25,3.1272084227215752e-06,4.610955529909252e-05,4.1333718874483314e-06,0.2475,100
2020-03-25,2020-03-26,2020-04-01,3.4275839563969068e-06,6.187857769561425e-05,4.590363522096572e-06,0.2475,100
2020-04-01,2020-04-02,2020-04-08,3.6011479911194217e-06,5.520572913141983e-05,4.88183693622927e-06,0.2475,100
2020-04-08,2020-04-09,2020-04-16,3.589805568097543e-06,5.163411921606033e-05,4.95968518678438e-06,0.2475,100
2020-04-16,2020-04-17,2020-04-23,3.684469291761289e-06,5.198801094831547e-05,4.953620104952496e-06,0.2475,100
2020-04-23,2020-04-24,2020-04-30,3.608245183535802e-06,4.7078471176163704e-05,4.842498465372531e-06,0.2475,100
2020-04-30,2020-05-01,2020-05-07,3.5455821461344273e-06,4.9541000230018125e-05,4.7730671889925575e-06,0.2475,100
2020-05-07,2020-05-08,2020-05-14,3.5392048942187464e-06,5.426847345613201e-05,4.819414620075813e-06,0.2475,100
2020-05-14,2020-05-15,2020-05-21,3.448951845374102e-06,5.287265866898253e-05,4.647792577397515e-06,0.2475,100
2020-05-21,2020-05-22,2020-05-29,3.4428749484467344e-06,5.053354666672917e-05,4.713810420919032e-06,0.2475,100
2020-05-29,2020-06-01,2020-06-05,3.530673512744582e-06,5.410336440107833e-05,4.812051373342309e-06,0.2475,100
2020-06-05,2020-06-08,2020-06-12,3.2898596136522268e-06,4.849012884686722e-05,4.45847075138062e-06,0.2475,100
2020-06-12,2020-06-15,2020-06-19,2.887018947497907e-06,4.2938531163566515e-05,3.94205751077949e-06,0.2475,100
2020-06-19,2020-06-22,2020-06-26,2.5804271172984537e-06,3.615455678074591e-05,3.434901167718914e-06,0.2475,100
2020-06-26,2020-06-29,2020-07-06,2.6136602918637366e-06,3.0983598646730886e-05,3.577113586119518e-06,0.2475,100
2020-07-06,2020-07-07,2020-07-13,2.698424809684811e-06,4.0020846826143455e-05,3.669986143467823e-06,0.2475,100
2020-07-13,2020-07-14,2020-07-20,2.5962463435544147e-06,5.144818972082047e-05,3.4962638572056223e-06,0.2475,100
2020-07-20,2020-07-21,2020-07-27,2.6786182779314404e-06,4.5687453498571234e-05,3.59589451647908e-06,0.2475,100
2020-07-27,2020-07-28,2020-08-03,2.633213778520611e-06,6.0406949436528e-05,3.624350768705377e-06,0.2475,100
2020-08-03,2020-08-04,2020-08-10,2.613015898208774e-06,5.260802353287215e-05,3.5543908171793383e-06,0.2475,100
2020-08-10,2020-08-11,2020-08-17,2.544872129409003e-06,5.079809025942455e-05,3.4317733482068008e-06,0.2475,100
2020-08-17,2020-08-18,2020-08-24,2.4945872748663783e-06,5.9213742045489634e-05,3.340412596774369e-06,0.2475,100
2020-08-24,2020-08-25,2020-08-31,2.4871845567192677e-06,4.595703510895997e-05,3.353548618019001e-06,0.2475,100
2020-08-31,2020-09-01,2020-09-08,2.455161544274022e-06,3.750115148628067e-05,3.343848325917699e-06,0.2475,100
2020-09-08,2020-09-09,2020-09-15,2.3599882547846407e-06,3.699305585871751e-05,3.1380562081245164e-06,0.2475,100
2020-09-15,2020-09-16,2020-09-22,2.3360699751257577e-06,3.3690152022904794e-05,3.1047651384537876e-06,0.2475,100
2020-09-22,2020-09-23,2020-09-29,2.354839827176521e-06,3.521632546509274e-05,3.128942139891661e-06,0.2475,100
2020-09-29,2020-09-30,2020-10-06,2.446333069105108e-06,3.787411456681857e-05,3.3001196773979684e-06,0.2475,100
2020-10-06,2020-10-07,2020-10-13,2.4792436523249276e-06,3.66285405708658e-05,3.2725419233429096e-06,0.2475,100
2020-10-13,2020-10-14,2020-10-20,2.517866056383777e-06,3.447583265416721e-05,3.331928605098409e-06,0.2475,100
2020-10-20,2020-10-21,2020-10-27,2.496248975709993e-06,3.059112765253548e-05,3.3270472199790066e-06,0.2475,100
2020-10-27,2020-10-28,2020-11-03,2.4589517751949194e-06,4.013751349183031e-05,3.2893048477805264e-06,0.2475,100
2020-11-03,2020-11-04,2020-11-10,2.5459472856162647e-06,4.776656293020957e-05,3.4039966258279907e-06,0.2475,100
2020-11-10,2020-11-11,2020-11-17,2.6042150702271846e-06,5.250142126308155e-05,3.53979787586955e-06,0.2475,100
2020-11-17,2020-11-18,2020-11-24,2.5436020487402554e-06,4.07624942652557e-05,3.4893614796275173e-06,0.2475,100
2020-11-24,2020-11-25,2020-12-02,2.6016000610609304e-06,5.3339984310902546e-05,3.509582090170704e-06,0.2475,100
2020-12-02,2020-12-03,2020-12-09,2.5314733086311484e-06,5.343292928847562e-05,3.4030391513578427e-06,0.2475,100
2020-12-09,2020-12-10,2020-12-16,2.5617353229490653e-06,4.5271392181443015e-05,3.500376980890548e-06,0.2475,100
2020-12-16,2020-12-17,2020-12-23,2.437183231067161e-06,3.68694783546094e-05,3.308011763075678e-06,0.2475,100
2020-12-23,2020-12-24,2020-12-31,2.3883665866319353e-06,4.0824419678413746e-05,3.195391363750326e-06,0.2475,100
2020-12-31,2021-01-04,2021-01-08,2.36121326874416e-06,4.4274603219712194e-05,3.1123784602802047e-06,0.2475,100
2021-01-08,2021-01-11,2021-01-15,2.2813301338795717e-06,3.5659211514764984e-05,3.10435807070766e-06,0.24750104123281966,98
2021-01-15,2021-01-19,2021-01-25,2.2417394512171345e-06,3.918494602287856e-05,2.999336239374805e-06,0.24752576267727783,99
2021-01-25,2021-01-26,2021-02-01,2.248145627493224e-06,4.0355296952192974e-05,2.9790188144734855e-06,0.24752576267727783,99
2021-02-01,2021-02-02,2021-02-08,2.2776636600886955e-06,4.127136205122983e-05,3.0347101450335224e-06,0.2475,100
2021-02-08,2021-02-09,2021-02-16,2.3819214162097124e-06,4.515053567903441e-05,3.2861277757265068e-06,0.2475,100
2021-02-16,2021-02-17,2021-02-23,2.435085004051779e-06,4.51011978032266e-05,3.352986623212935e-06,0.2475,100
2021-02-23,2021-02-24,2021-03-02,2.508101784910761e-06,3.64140332351766e-05,3.3465351577338782e-06,0.2475,100
2021-03-02,2021-03-03,2021-03-09,2.4556484192440927e-06,3.501961009759863e-05,3.3058998879801375e-06,0.2475,100
2021-03-09,2021-03-10,2021-03-16,2.317457215567737e-06,3.7616255723845244e-05,3.144832058749814e-06,0.2475,100
2021-03-16,2021-03-17,2021-03-23,2.300023202675261e-06,3.9671000759069396e-05,3.0689033167119195e-06,0.2475,100
2021-03-23,2021-03-24,2021-03-30,2.3020570999243305e-06,3.830857000158621e-05,3.067086457487004e-06,0.2475,100
2021-03-30,2021-03-31,2021-04-07,2.347485058264253e-06,3.97546190272493e-05,3.164856750729761e-06,0.2475,100
2021-04-07,2021-04-08,2021-04-14,2.3026030192551088e-06,3.7373983354709174e-05,3.0445249264571177e-06,0.2475,100
2021-04-14,2021-04-15,2021-04-21,2.4040135106700105e-06,3.965940837169142e-05,3.1995585979364033e-06,0.2475,100
2021-04-21,2021-04-22,2021-04-28,2.4538044732585904e-06,4.422145257925818e-05,3.261633533262068e-06,0.2475,100
2021-04-28,2021-04-29,2021-05-05,2.4734627270413154e-06,4.539355181047509e-05,3.3088381498127978e-06,0.2475,100
2021-05-05,2021-05-06,2021-05-12,2.39161860970387e-06,4.1031890587281134e-05,3.151199674307288e-06,0.24752576267727783,99
2021-05-12,2021-05-13,2021-05-19,2.3658905223189716e-06,3.492601515273973e-05,3.0989384339051314e-06,0.24752576267727783,99
2021-05-19,2021-05-20,2021-05-26,2.4155639085923883e-06,3.6170892131459684e-05,3.240087179364075e-06,0.24752576267727783,99
2021-05-26,2021-05-27,2021-06-03,2.4421155220878844e-06,3.84753865125543e-05,3.252939293944042e-06,0.2475,100
2021-06-03,2021-06-04,2021-06-10,2.4177659028890883e-06,4.182511604873251e-05,3.1909581053505145e-06,0.2475,100
2021-06-10,2021-06-11,2021-06-17,2.3574514594729884e-06,3.527395870629551e-05,3.1215910574976996e-06,0.2475,100
2021-06-17,2021-06-18,2021-06-24,2.3664831218463763e-06,3.4426774841500924e-05,3.105508383257662e-06,0.2475,100
2021-06-24,2021-06-25,2021-07-01,2.3172464948850773e-06,3.561539999193072e-05,3.0229551961715274e-06,0.2475,100
2021-07-01,2021-07-02,2021-07-09,2.329949905789486e-06,6.691170031261586e-05,3.124442024481241e-06,0.2475,100
2021-07-09,2021-07-12,2021-07-16,2.3732923404889815e-06,6.521779965084158e-05,3.153984396445485e-06,0.2475,100
2021-07-16,2021-07-19,2021-07-23,2.4391706151697527e-06,6.732907960117879e-05,3.2784390051616145e-06,0.2475,100
