formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2019-03-28,2019-03-29,2019-04-04,2.921182150145393e-06,4.343380488958294e-05,3.931115423922593e-06,0.2475,100
2019-04-04,2019-04-05,2019-04-11,2.3718641873886152e-06,6.183495180928196e-05,3.0925619676372805e-06,0.2475,100
2019-04-11,2019-04-12,2019-04-18,2.4731696776772277e-06,6.428956639011591e-05,3.251612901285437e-06,0.2475,100
2019-04-18,2019-04-22,2019-04-26,2.3199609426113268e-06,6.187122475587193e-05,3.027625541868127e-06,0.2475,100
2019-04-26,2019-04-29,2019-05-03,2.3104357405970917e-06,6.0077849689507455e-05,2.9562937424674685e-06,0.2475,100
2019-05-03,2019-05-06,2019-05-10,2.1835085832013044e-06,5.4780299805571605e-05,2.8316765006133135e-06,0.24752576267727783,99
2019-05-10,2019-05-13,2019-05-17,2.016336714462767e-06,4.7137439965273645e-05,2.656597452040084e-06,0.24752576267727783,99
2019-05-17,2019-05-20,2019-05-24,2.214667062099644e-06,5.1879757163834454e-05,2.9165919542045627e-06,0.2475,100
2019-05-24,2019-05-28,2019-06-03,2.451319277579333e-06,5.085249655763258e-05,3.2340052000484584e-06,0.2475,100
2019-06-03,2019-06-04,2019-06-10,2.370149988826691e-06,4.295259069977184e-05,3.197106219270776e-06,0.24752576267727783,99
2019-06-10,2019-06-11,2019-06-17,2.4150230050678834e-06,3.7370805973121965e-05,3.2625618041028017e-06,0.24752576267727783,99
2019-06-17,2019-06-18,2019-06-24,2.222165579995839e-06,3.6297143682584224e-05,2.979423113367696e-06,0.24752576267727783,99
2019-06-24,2019-06-25,2019-07-01,2.204344961480097e-06,3.4696090892938786e-05,2.9486064189549075e-06,0.2475,100
2019-07-01,2019-07-02,2019-07-09,2.529463141759221e-06,4.379451112411222e-05,3.399406537584671e-06,0.2475,100
2019-07-09,2019-07-10,2019-07-16,2.5898433102528816e-06,4.5719682724173664e-05,3.4524011268659402e-06,0.2475,100
2019-07-16,2019-07-17,2019-07-23,2.6548925509327273e-06,7.884453860149169e-05,3.666867840178656e-06,0.2475,100
2019-07-23,2019-07-24,2019-07-30,2.6440516029734643e-06,4.661163055294502e-05,3.6119127652236926e-06,0.2475,100
2019-07-30,2019-07-31,2019-08-06,2.5008118226825287e-06,4.736575876984413e-05,3.395824453290418e-06,0.2475,100
2019-08-06,2019-08-07,2019-08-13,2.2233989876266553e-06,4.5202186604339414e-05,2.9276695882518535e-06,0.2475,100
2019-08-13,2019-08-14,2019-08-20,2.1118348444211385e-06,4.8818534014323964e-05,2.72825935859011e-06,0.2475,100
2019-08-20,2019-08-21,2019-08-27,1.992616544082313e-06,5.137487147434178e-05,2.570035218563624e-06,0.2475,100
2019-08-27,2019-08-28,2019-09-04,2.032851308929678e-06,4.370647187698526e-05,2.701038734803313e-06,0.2475,100
2019-09-04,2019-09-05,2019-09-11,2.25590391325894e-06,4.7754065634863644e-05,3.006685187747683e-06,0.2475,100
2019-09-11,2019-09-12,2019-09-18,2.20483926403759e-06,4.73677538300469e-05,2.9445831132314126e-06,0.2475,100
2019-09-18,2019-09-19,2019-09-25,2.3179263237605616e-06,4.430287140804123e-05,3.1646020417109294e-06,0.2475,100
2019-09-25,2019-09-26,2019-10-02,2.4877528846628256e-06,4.1913115216721e-05,3.4247132076910927e-06,0.2475,100
2019-10-02,2019-10-03,2019-10-09,2.119811834657887e-06,4.574484739470938e-05,2.7962132489257102e-06,0.2475,100
2019-10-09,2019-10-10,2019-10-16,2.253869135366425e-06,5.280390130604305e-05,3.0713491280151158e-06,0.2475,100
2019-10-16,2019-10-17,2019-10-23,2.1938611360130324e-06,5.569515393287673e-05,2.945182656610947e-06,0.2475,100
2019-10-23,2019-10-24,2019-10-30,2.2315487002614513e-06,3.435047460546742e-05,2.983825968349972e-06,0.2475,100
2019-10-30,2019-10-31,2019-11-06,2.4223843091433074e-06,4.7106452158065715e-05,3.2926524875805614e-06,0.2475,100
2019-11-06,2019-11-07,2019-11-13,2.399692229426194e-06,4.639605688608081e-05,3.133060551840956e-06,0.2475,100
2019-11-13,2019-11-14,2019-11-20,2.157279774473249e-06,5.0784872913377296e-05,2.9557876898704973e-06,0.2475,100
2019-11-20,2019-11-21,2019-11-27,2.1651771061092776e-06,5.4245315098858674e-05,2.8993490009003823e-06,0.2475,100
2019-11-27,2019-11-29,2019-12-05,1.9586582379589772e-06,6.33457479736887e-05,2.5735142394746227e-06,0.2475,100
2019-12-05,2019-12-06,2019-12-12,1.8175123345643959e-06,6.63025289378618e-05,2.35033538424714e-06,0.2475,100
2019-12-12,2019-12-13,2019-12-19,1.8398389811505072e-06,6.30125581758448e-05,2.3756143034057903e-06,0.2475,100
2019-12-19,2019-12-20,2019-12-27,2.001062857816962e-06,6.0370705728326214e-05,2.5322696011682483e-06,0.2475,100
2019-12-27,2019-12-30,2020-01-06,2.287130887620569e-06,6.727313551832092e-05,2.9888483465935998e-06,0.2475,100
2020-01-06,2020-01-07,2020-01-13,2.1716009907594045e-06,5.0257487793077574e-05,2.8309157949844494e-06,0.2475,100
2020-01-13,2020-01-14,2020-01-21,2.280824315185366e-06,5.3352548423650473e-05,3.014571714287488e-06,0.24752576267727783,99
2020-01-21,2020-01-22,2020-01-28,2.297893837719373e-06,4.784004633041232e-05,3.000030453728982e-06,0.24752576267727783,99
2020-01-28,2020-01-29,2020-02-04,2.295707478486651e-06,5.2750970327757e-05,2.9319893971504725e-06,0.24752576267727783,99
2020-02-04,2020-02-05,2020-02-11,2.5884258361878484e-06,4.8182245301950756e-05,3.4312555490134556e-06,0.2475,100
2020-02-11,2020-02-12,2020-02-19,2.6469536199181467e-06,4.2962139363179166e-05,3.5678027417519447e-06,0.2475,100
2020-02-19,2020-02-20,2020-02-26,2.6854067937815252e-06,4.5151438935409275e-05,3.5753717817839977e-06,0.2475,100
2020-02-26,2020-02-27,2020-03-04,3.364618233226087e-06,5.1298687773531516e-05,4.727976662029959e-06,0.2475,100
2020-03-04,2020-03-05,2020-03-11,4.211380868290488e-06,6.485258148676816e-05,5.2734674812302215e-06,0.2475,100
2020-03-11,2020-03-12,2020-03-18,3.3178407025127246e-06,6.799305771584011e-05,3.997857341795065e-06,0.2475,100
2020-03-18,2020-03-19,2020-03-25,3.579970562483361e-06,8.917518197378564e-05,4.773150304898126e-06,0.2475,100
2020-03-25,2020-03-26,2020-04-01,3.6276834592078172e-06,5.525765823330769e-05,4.780291902244558e-06,0.2475,100
2020-04-01,2020-04-02,2020-04-08,3.7607895035892666e-06,4.7500372764768606e-05,4.9053830917133934e-06,0.2475,100
2020-04-08,2020-04-09,2020-04-16,3.422274718205187e-06,4.595980116306214e-05,4.426502731553077e-06,0.2475,100
2020-04-16,2020-04-17,2020-04-23,3.3393245906816227e-06,4.494322904121144e-05,4.342000818279565e-06,0.2475,100
2020-04-23,2020-04-24,2020-04-30,3.0883379211762887e-06,4.20549549096327e-05,4.065950562819102e-06,0.2475,100
2020-04-30,2020-05-01,2020-05-07,3.107897387063439e-06,4.283421231990523e-05,4.020231405186929e-06,0.2475,100
2020-05-07,2020-05-08,2020-05-14,3.055387823798587e-06,3.9678333738824434e-05,4.004332544956273e-06,0.2475,100
2020-05-14,2020-05-15,2020-05-21,2.9552146133063062e-06,3.927969519350265e-05,3.900117465540939e-06,0.2475,100
2020-05-21,2020-05-22,2020-05-29,3.108640083194636e-06,3.893159815231206e-05,4.109803599099538e-06,0.2475,100
2020-05-29,2020-06-01,2020-06-05,3.2231820940828563e-06,4.0208053276375186e-05,4.2864870334803255e-06,0.2475,100
2020-06-05,2020-06-08,2020-06-12,4.560992437239462e-06,5.7024754171411887e-05,6.448154774646539e-06,0.2475,100
2020-06-12,2020-06-15,2020-06-19,3.008640638355762e-06,4.838403618407333e-05,3.82407265579565e-06,0.2475,100
2020-06-19,2020-06-22,2020-06-26,2.2374120445567345e-06,3.88933137666819e-05,2.972671899813643e-06,0.2475,100
2020-06-26,2020-06-29,2020-07-06,1.7316154858493075e-06,3.373679705217452e-05,2.3155946054462925e-06,0.2475,100
2020-07-06,2020-07-07,2020-07-13,1.937257209539261e-06,3.2689587421759535e-05,2.5853316691331274e-06,0.2475,100
2020-07-13,2020-07-14,2020-07-20,2.173573376094178e-06,3.407476336324483e-05,2.9943053189062544e-06,0.2475,100
2020-07-20,2020-07-21,2020-07-27,2.2891583662012326e-06,3.076609644140567e-05,3.0896987249027028e-06,0.2475,100
2020-07-27,2020-07-28,2020-08-03,1.8466187613450994e-06,3.086277141975771e-05,2.469134287979353e-06,0.2475,100
2020-08-03,2020-08-04,2020-08-10,1.9527605990751505e-06,4.1146222909523605e-05,2.625277622834223e-06,0.2475,100
2020-08-10,2020-08-11,2020-08-17,2.0209634300804303e-06,3.8596467956446306e-05,2.678250339145789e-06,0.2475,100
2020-08-17,2020-08-18,2020-08-24,2.4292144455292094e-06,3.882390349944775e-05,3.3315262618670073e-06,0.2475,100
2020-08-24,2020-08-25,2020-08-31,2.4334189549528932e-06,3.807245973677583e-05,3.280419344289953e-06,0.2475,100
2020-08-31,2020-09-01,2020-09-08,2.2985944859794285e-06,4.127872128192064e-05,3.0990113446320695e-06,0.2475,100
2020-09-08,2020-09-09,2020-09-15,2.356585383209012e-06,3.413567042059848e-05,3.132431494160067e-06,0.2475,100
2020-09-15,2020-09-16,2020-09-22,2.276125387503062e-06,3.421452766020511e-05,3.0276859962647396e-06,0.2475,100
