precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,dgp,method
0.10638297872340426,0.2222222222222222,0.14388489208633093,0.0,0.0643489452087787,0.05172413793103448,0.10804597701149425,30,120,4.0,0,linear,OLS
0.5,0.08888888888888889,0.1509433962264151,0.2,0.06305629522419404,0.05172413793103448,0.009195402298850575,30,120,4.0,0,linear,LASSO
0.3333333333333333,0.19047619047619047,0.24242424242424243,0.2,0.25165117375647594,0.09655172413793103,0.05517241379310345,30,120,4.0,0,threshold,OLS
0.25,0.023809523809523808,0.043478260869565216,0.2,0.07945521577046603,0.09655172413793103,0.009195402298850575,30,120,4.0,0,threshold,LASSO
0.17708333333333334,0.37777777777777777,0.24113475177304963,0.0,-0.0779666547283578,0.05172413793103448,0.1103448275862069,30,120,4.0,1,linear,OLS
0.75,0.13333333333333333,0.22641509433962265,0.2,0.2961755302619255,0.05172413793103448,0.009195402298850575,30,120,4.0,1,linear,LASSO
0.3508771929824561,0.22727272727272727,0.27586206896551724,0.0,-0.06919573441460274,0.10114942528735632,0.06551724137931035,30,120,4.0,1,threshold,OLS
0.6363636363636364,0.07954545454545454,0.1414141414141414,0.0,-0.060459202769661845,0.10114942528735632,0.01264367816091954,30,120,4.0,1,threshold,LASSO
0.19718309859154928,0.3111111111111111,0.2413793103448276,0.4,0.10455754681132273,0.05172413793103448,0.08160919540229886,30,120,4.0,2,linear,OLS
0.2857142857142857,0.08888888888888889,0.13559322033898305,0.2,-0.035671541872724595,0.05172413793103448,0.016091954022988506,30,120,4.0,2,linear,LASSO
0.3076923076923077,0.22988505747126436,0.2631578947368421,0.2,-0.07370438839834369,0.1,0.07471264367816093,30,120,4.0,2,threshold,OLS
0.5,0.011494252873563218,0.02247191011235955,0.0,-0.09080479788690579,0.1,0.0022988505747126436,30,120,4.0,2,threshold,LASSO
0.1282051282051282,0.2222222222222222,0.16260162601626016,0.4,0.19966598441960692,0.05172413793103448,0.0896551724137931,30,120,4.0,3,linear,OLS
0.07692307692307693,0.022222222222222223,0.034482758620689655,0.2,-0.09133642791264766,0.05172413793103448,0.014942528735632184,30,120,4.0,3,linear,LASSO
0.36,0.2,0.2571428571428571,0.0,-0.15772461411876337,0.10344827586206896,0.05747126436781609,30,120,4.0,3,threshold,OLS
0.8888888888888888,0.08888888888888889,0.16161616161616163,0.0,0.1227465297493627,0.10344827586206896,0.010344827586206896,30,120,4.0,3,threshold,LASSO
0.1978021978021978,0.4,0.2647058823529412,0.4,-0.046647428569421306,0.05172413793103448,0.10459770114942529,30,120,4.0,4,linear,OLS
0.631578947368421,0.26666666666666666,0.375,0.4,0.36596014058389564,0.05172413793103448,0.021839080459770115,30,120,4.0,4,linear,LASSO
0.35714285714285715,0.22988505747126436,0.27972027972027974,0.4,0.48822255815788274,0.1,0.06436781609195402,30,120,4.0,4,threshold,OLS
0.875,0.08045977011494253,0.14736842105263157,0.2,0.004089782865695411,0.1,0.009195402298850575,30,120,4.0,4,threshold,LASSO
0.19767441860465115,0.37777777777777777,0.2595419847328244,0.6,0.49840798952962456,0.05172413793103448,0.09885057471264368,30,120,4.0,5,linear,OLS
0.5909090909090909,0.28888888888888886,0.3880597014925373,0.4,0.5263438802010821,0.05172413793103448,0.02528735632183908,30,120,4.0,5,linear,LASSO
0.2708333333333333,0.14444444444444443,0.18840579710144928,0.4,0.17077322327155284,0.10344827586206896,0.05517241379310345,30,120,4.0,5,threshold,OLS
0.5,0.022222222222222223,0.0425531914893617,0.4,0.28268498975844725,0.10344827586206896,0.004597701149425287,30,120,4.0,5,threshold,LASSO
0.16129032258064516,0.2222222222222222,0.18691588785046728,0.6,0.27243589743589747,0.05172413793103448,0.07126436781609195,30,120,4.0,6,linear,OLS
0.5714285714285714,0.08888888888888889,0.15384615384615385,0.4,0.09267030948228233,0.05172413793103448,0.008045977011494253,30,120,4.0,6,linear,LASSO
0.2786885245901639,0.19318181818181818,0.22818791946308725,0.2,0.10159919196037286,0.10114942528735632,0.07011494252873564,30,120,4.0,6,threshold,OLS
0.5,0.07954545454545454,0.13725490196078433,0.2,0.09284510787949718,0.10114942528735632,0.016091954022988506,30,120,4.0,6,threshold,LASSO
0.17333333333333334,0.28888888888888886,0.21666666666666667,0.2,0.14083780660871914,0.05172413793103448,0.08620689655172414,30,120,4.0,7,linear,OLS
0.5555555555555556,0.1111111111111111,0.18518518518518517,0.4,0.18523256318226058,0.05172413793103448,0.010344827586206896,30,120,4.0,7,linear,LASSO
0.3090909090909091,0.19318181818181818,0.23776223776223776,0.0,0.18183543208736797,0.10114942528735632,0.06321839080459771,30,120,4.0,7,threshold,OLS
0.8333333333333334,0.056818181818181816,0.10638297872340426,0.4,0.18646010561887896,0.10114942528735632,0.006896551724137931,30,120,4.0,7,threshold,LASSO
0.192,0.384,0.256,0.4,0.3429174391595036,0.05102040816326531,0.10204081632653061,50,250,5.0,0,linear,OLS
0.68,0.136,0.22666666666666666,0.0,0.00487596439589892,0.05102040816326531,0.01020408163265306,50,250,5.0,0,linear,LASSO
0.485,0.3911290322580645,0.4330357142857143,0.2,0.20696825520391962,0.10122448979591837,0.08163265306122448,50,250,5.0,0,threshold,OLS
0.9444444444444444,0.13709677419354838,0.23943661971830985,0.0,0.08186212041785207,0.10122448979591837,0.014693877551020407,50,250,5.0,0,threshold,LASSO
0.16184971098265896,0.448,0.23779193205944799,0.2,0.1355889281316112,0.05102040816326531,0.14122448979591837,50,250,5.0,1,linear,OLS
0.6046511627906976,0.208,0.30952380952380953,0.2,0.1884169366160272,0.05102040816326531,0.017551020408163264,50,250,5.0,1,linear,LASSO
0.40932642487046633,0.3278008298755187,0.3640552995391705,0.0,0.10193694341872947,0.09836734693877551,0.07877551020408163,50,250,5.0,1,threshold,OLS
0.8888888888888888,0.13278008298755187,0.23104693140794225,0.0,0.04067211255871624,0.09836734693877551,0.014693877551020407,50,250,5.0,1,threshold,LASSO
0.1440443213296399,0.416,0.2139917695473251,0.0,0.016101279007983273,0.05102040816326531,0.1473469387755102,50,250,5.0,2,linear,OLS
0.5897435897435898,0.184,0.2804878048780488,0.4,0.16867536271930522,0.05102040816326531,0.015918367346938776,50,250,5.0,2,linear,LASSO
